SPAM_short_name,iso3c,late,early,coef
acof,AGO,11955.443333333333,10708.333333333334,1.116461634241245
acof,BDI,16386.333333333332,50812.333333333336,0.32248732263164454
acof,BEN,55.29666666666667,64.11333333333333,0.8624831028387231
acof,BLZ,89.53333333333333,95.44333333333333,0.9380784409597318
acof,BOL,23897.993333333332,27731.14,0.8617746451582349
acof,BRA,3235252,2682620.3333333335,1.20600442776037
acof,CAF,10175.486666666668,5010.54,2.0308163724202717
acof,CHN,114000,61795,1.8448094506027997
acof,CIV,118980,89869.33333333333,1.3239221388089375
acof,CMR,36119.50666666667,47009.666666666664,0.768342114033284
acof,COD,53444.07,31840,1.6785197864321608
acof,COG,3160.84,2809.1033333333335,1.1252131463064727
acof,COK,0.44666666666666666,0.35,1.2761904761904763
acof,COL,759620,490880,1.5474657757496741
acof,COM,139.84,125.78999999999999,1.1116940933301536
acof,CPV,42.91,20.666666666666668,2.076290322580645
acof,CRI,76904.22333333333,92687,0.8297196298653892
acof,CUB,8133.333333333333,8853.333333333334,0.9186746987951806
acof,DMA,231.56666666666666,308.49333333333334,0.7506375070233824
acof,DOM,15146.793333333333,27501.95,0.5507534314233475
acof,ECU,6112.713333333333,29600,0.20651058558558558
acof,ESP,0,0,0
acof,ETH,507783.38,337620.3333333333,1.5040071046273873
acof,FJI,14.383333333333335,15.54,0.9255684255684257
acof,GAB,99.00666666666666,113.12333333333333,0.8752099478445354
acof,GHA,736,1203.3333333333333,0.611634349030471
acof,GIN,45083.113333333335,29170.333333333332,1.5455124498634458
acof,GNQ,4158.786666666667,4197.78,0.990710963096367
acof,GTM,229700,253753.18,0.9052103307631455
acof,GUY,618,420,1.4714285714285715
acof,HND,412574.92,253323.33333333334,1.6286494993223415
acof,HTI,20740,37969.10333333333,0.5462335999331386
acof,IDN,760102.3333333334,668422.3333333334,1.137158792320424
acof,IND,317166.6666666667,284633.3333333333,1.1142990982550651
acof,JAM,6964,9892,0.7040032349373231
acof,KEN,38633.333333333336,44100,0.8760393046107332
acof,KHM,375.17,353.69666666666666,1.0607111555099002
acof,LAO,163590,48111.666666666664,3.400214778120345
acof,LBR,630.6066666666667,1016.61,0.6203034267483761
acof,LCA,0,0,0
acof,LKA,5639.266666666666,5323.333333333333,1.0593487789605511
acof,MDG,50791.513333333336,57122.346666666665,0.8891706363137276
acof,MEX,171869.29666666666,248933,0.6904239159398982
acof,MMR,8868.423333333334,7300,1.2148525114155253
acof,MOZ,814.59,770,1.057909090909091
acof,MUS,0,0,0
acof,MWI,10333.333333333334,4567,2.262608568717612
acof,MYS,3983.3766666666666,15721.333333333334,0.25337397167331016
acof,NCL,1.8866666666666667,13.666666666666666,0.1380487804878049
acof,NGA,1859.43,2321.5233333333335,0.8009525354759877
acof,NIC,161164,91599.51666666666,1.7594415982180402
acof,NPL,380.6666666666667,325.6666666666667,1.1688843398157625
acof,PAN,6880,11752.333333333334,0.5854156621380151
acof,PER,360702.49,279877,1.2887893253107614
acof,PHL,60430.67,93165,0.6486413352653894
acof,PNG,42703,65776.66666666667,0.6492119799320935
acof,PRI,4100.3533333333335,6465.803333333333,0.6341599213503246
acof,PRY,389.3333333333333,340.3333333333333,1.1439764936336925
acof,PYF,21.1,18.6,1.1344086021505375
acof,RWA,23097.296666666665,20170.43,1.1451068056886573
acof,SLE,2400,26193.193333333333,0.0916268577663561
acof,SLV,34180.30333333334,90440.66666666667,0.3779306875225747
acof,STP,7.526666666666666,12.889999999999999,0.5839151797258857
acof,SUR,6.02,7.006666666666667,0.8591817316841103
acof,TGO,18452.283333333333,11900,1.550612044817927
acof,THA,26309.793333333335,49221.333333333336,0.5345201267742984
acof,TLS,11148.566666666666,10365,1.0755973629200835
acof,TON,15.353333333333333,16.343333333333334,0.9394248419335101
acof,TTO,671.66,84.33333333333333,7.964347826086956
acof,TWN,962.6666666666666,0,0
acof,TZA,67275,54308.333333333336,1.2387601657204235
acof,UGA,349598.6666666667,184736.66666666666,1.8924162321141806
acof,USA,2183.3333333333335,3795.6666666666665,0.5752173531219813
acof,VCT,183.2,202.82666666666665,0.903234288719432
acof,VEN,55130.62,68996.33333333333,0.7990369536545421
acof,VNM,1765091.3966666667,1146581.8666666667,1.5394377392328085
acof,VUT,36.486666666666665,26.46,1.3789367598891407
acof,WSM,11.333333333333334,9.333333333333334,1.2142857142857142
acof,YEM,21246.093333333334,19076,1.1137603970084575
acof,ZMB,6644.87,6283.173333333333,1.0575659221030562
acof,ZWE,661.2466666666667,800,0.8265583333333333
bana,AGO,4195765.333333333,2226430.3333333335,1.8845257677798435
bana,ARE,647.8,184.95,3.5025682616923492
bana,ARG,176417.73,171980.10333333333,1.0258031399019782
bana,ATG,26.69333333333333,230.77,0.11567072554202595
bana,AUS,342875.9666666667,258439,1.3267191355277905
bana,AUT,0,0,0
bana,BDI,1246471.0633333332,1869070.6666666667,0.6668934918101901
bana,BEL,0,0,0
bana,BEN,20107.2,16214.076666666666,1.2401076184212771
bana,BFA,42677.80333333334,0,0
bana,BGD,825789.3333333334,818425.6666666666,1.0089973554918652
bana,BGR,0,0,0
bana,BHR,0,0,0
bana,BHS,10171.536666666667,8048.41,1.2637945465833211
bana,BLZ,92568.33333333333,73840.66666666667,1.25362266501747
bana,BOL,301095.86666666664,159521.68666666668,1.8874917445916337
bana,BRA,6760185.333333333,7027422.333333333,0.9619722584862435
bana,BRB,1012.68,847.85,1.1944093884531461
bana,BRN,1674.6966666666667,844.4133333333333,1.9832664887653757
bana,BTN,3359.06,2276.6666666666665,1.4754289897510982
