SPAM_short_name	SPAM_full_name	item_code	SPAM_super
trof	tropical fruit	512	xfru
trof	tropical fruit	567	xfru
trof	tropical fruit	568	xfru
trof	tropical fruit	569	xfru
trof	tropical fruit	570	xfru
trof	tropical fruit	571	xfru
trof	tropical fruit	572	xfru
trof	tropical fruit	573	xfru
trof	tropical fruit	574	xfru
trof	tropical fruit	575	xfru
trof	tropical fruit	576	xfru
trof	tropical fruit	577	xfru
trof	tropical fruit	578	xfru
trof	tropical fruit	579	xfru
trof	tropical fruit	580	xfru
trof	tropical fruit	581	xfru
trof	tropical fruit	582	xfru
trof	tropical fruit	583	xfru
trof	tropical fruit	584	xfru
trof	tropical fruit	585	xfru
trof	tropical fruit	586	xfru
trof	tropical fruit	587	xfru
trof	tropical fruit	588	xfru
trof	tropical fruit	589	xfru
trof	tropical fruit	590	xfru
trof	tropical fruit	591	xfru
trof	tropical fruit	600	xfru
trof	tropical fruit	601	xfru
trof	tropical fruit	602	xfru
trof	tropical fruit	603	xfru
temf	temperate fruit	515	xfru
temf	temperate fruit	516	xfru
temf	temperate fruit	517	xfru
temf	temperate fruit	518	xfru
temf	temperate fruit	519	xfru
temf	temperate fruit	520	xfru
temf	temperate fruit	521	xfru
temf	temperate fruit	522	xfru
temf	temperate fruit	523	xfru
temf	temperate fruit	524	xfru
temf	temperate fruit	525	xfru
temf	temperate fruit	526	xfru
temf	temperate fruit	527	xfru
temf	temperate fruit	528	xfru
temf	temperate fruit	529	xfru
temf	temperate fruit	530	xfru
temf	temperate fruit	531	xfru
temf	temperate fruit	532	xfru
temf	temperate fruit	533	xfru
temf	temperate fruit	534	xfru
temf	temperate fruit	535	xfru
temf	temperate fruit	536	xfru
temf	temperate fruit	537	xfru
temf	temperate fruit	538	xfru
temf	temperate fruit	539	xfru
temf	temperate fruit	540	xfru
temf	temperate fruit	541	xfru
temf	temperate fruit	542	xfru
temf	temperate fruit	543	xfru
temf	temperate fruit	544	xfru
temf	temperate fruit	545	xfru
temf	temperate fruit	546	xfru
temf	temperate fruit	547	xfru
temf	temperate fruit	548	xfru
temf	temperate fruit	549	xfru
temf	temperate fruit	550	xfru
temf	temperate fruit	551	xfru
temf	temperate fruit	552	xfru
temf	temperate fruit	553	xfru
temf	temperate fruit	554	xfru
temf	temperate fruit	555	xfru
temf	temperate fruit	556	xfru
temf	temperate fruit	557	xfru
temf	temperate fruit	558	xfru
temf	temperate fruit	559	xfru
temf	temperate fruit	560	xfru
vege	vegetables	358	vege
vege	vegetables	359	vege
vege	vegetables	360	vege
vege	vegetables	361	vege
vege	vegetables	362	vege
vege	vegetables	363	vege
vege	vegetables	364	vege
vege	vegetables	365	vege
vege	vegetables	366	vege
vege	vegetables	367	vege
vege	vegetables	368	vege
vege	vegetables	369	vege
vege	vegetables	370	vege
vege	vegetables	371	vege
vege	vegetables	372	vege
vege	vegetables	373	vege
vege	vegetables	374	vege
vege	vegetables	375	vege
vege	vegetables	376	vege
vege	vegetables	377	vege
vege	vegetables	378	vege
vege	vegetables	379	vege
vege	vegetables	380	vege
vege	vegetables	381	vege
vege	vegetables	382	vege
vege	vegetables	383	vege
vege	vegetables	384	vege
vege	vegetables	385	vege
vege	vegetables	386	vege
vege	vegetables	387	vege
vege	vegetables	388	vege
vege	vegetables	389	vege
vege	vegetables	390	vege
vege	vegetables	391	vege
vege	vegetables	392	vege
vege	vegetables	393	vege
vege	vegetables	394	vege
vege	vegetables	395	vege
vege	vegetables	396	vege
vege	vegetables	397	vege
vege	vegetables	398	vege
vege	vegetables	399	vege
vege	vegetables	400	vege
vege	vegetables	401	vege
vege	vegetables	402	vege
vege	vegetables	403	vege
vege	vegetables	404	vege
vege	vegetables	405	vege
vege	vegetables	406	vege
vege	vegetables	407	vege
vege	vegetables	408	vege
vege	vegetables	409	vege
vege	vegetables	410	vege
vege	vegetables	411	vege
vege	vegetables	412	vege
vege	vegetables	413	vege
vege	vegetables	414	vege
vege	vegetables	415	vege
vege	vegetables	416	vege
vege	vegetables	417	vege
vege	vegetables	418	vege
vege	vegetables	419	vege
vege	vegetables	420	vege
vege	vegetables	421	vege
vege	vegetables	422	vege
vege	vegetables	423	vege
vege	vegetables	424	vege
vege	vegetables	425	vege
vege	vegetables	426	vege
vege	vegetables	427	vege
vege	vegetables	428	vege
vege	vegetables	429	vege
vege	vegetables	430	vege
vege	vegetables	431	vege
vege	vegetables	432	vege
vege	vegetables	433	vege
vege	vegetables	434	vege
vege	vegetables	435	vege
vege	vegetables	436	vege
vege	vegetables	437	vege
vege	vegetables	438	vege
vege	vegetables	439	vege
vege	vegetables	440	vege
vege	vegetables	441	vege
vege	vegetables	442	vege
vege	vegetables	443	vege
vege	vegetables	444	vege
vege	vegetables	445	vege
vege	vegetables	446	vege
vege	vegetables	447	vege
vege	vegetables	448	vege
vege	vegetables	449	vege
vege	vegetables	450	vege
vege	vegetables	451	vege
vege	vegetables	452	vege
vege	vegetables	453	vege
vege	vegetables	454	vege
vege	vegetables	455	vege
vege	vegetables	456	vege
vege	vegetables	457	vege
vege	vegetables	458	vege
vege	vegetables	459	vege
vege	vegetables	460	vege
vege	vegetables	461	vege
vege	vegetables	462	vege
vege	vegetables	463	vege
rest	rest of crops	216	NA
rest	rest of crops	217	NA
rest	rest of crops	218	NA
rest	rest of crops	219	NA
rest	rest of crops	220	NA
rest	rest of crops	221	NA
rest	rest of crops	222	NA
rest	rest of crops	223	NA
rest	rest of crops	224	NA
rest	rest of crops	225	NA
rest	rest of crops	226	NA
rest	rest of crops	227	NA
rest	rest of crops	228	NA
rest	rest of crops	229	NA
rest	rest of crops	230	NA
rest	rest of crops	231	NA
rest	rest of crops	232	NA
rest	rest of crops	233	NA
rest	rest of crops	234	NA
rest	rest of crops	677	NA
rest	rest of crops	678	NA
rest	rest of crops	679	NA
rest	rest of crops	680	NA
rest	rest of crops	681	NA
