"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AGO","plant-dominant","regular","wheat gluten","Wheat",15,0.00000594446261838761,0.00000662338048371154,0.0000151854391497475
"ALA","fish-dominant","efficient","wheat","Wheat",15,0.0000269827014536961,0.0000269827014536961,0.0000269827014536961
"ALA","fish-dominant","efficient","wheat gluten","Wheat",15,0.0000501107312711499,0.0000558338845464679,0.000128010471142268
"ALA","fish-dominant","regular","wheat","Wheat",15,0.0000350775118898049,0.0000350775118898049,0.0000350775118898049
"ALA","fish-dominant","regular","wheat gluten","Wheat",15,0.0000651439506524949,0.0000725840499104082,0.000166413612484948
"ALA","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.0000305913347763667,0.0000482103592032364,0.0000512646939767934
"ALA","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0000000000636784810388066,0.000000000129497485212395,0.000000000229485524821109
"ALA","plant-dominant","efficient","linseed oil","Linseed",333,0.000000000847888623286412,0.00000000136793796304712,0.00000000124206444815564
"ALA","plant-dominant","efficient","wheat","Wheat",15,0.000025055365635575,0.000025055365635575,0.000025055365635575
"ALA","plant-dominant","efficient","wheat gluten","Wheat",15,0.0000377757820351746,0.000042090159119645,0.0000965002013226326
"ALA","plant-dominant","regular","canola oil","Rape or colza seed",270,0.0000397687352092767,0.0000626734669642073,0.0000666441021698314
"ALA","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.0000000000827820253504485,0.000000000168346730776113,0.000000000298331182267441
"ALA","plant-dominant","regular","linseed oil","Linseed",333,0.00000000110225521027234,0.00000000177831935196126,0.00000000161468378260233
"ALA","plant-dominant","regular","wheat","Wheat",15,0.0000325719753262474,0.0000325719753262474,0.0000325719753262474
"ALA","plant-dominant","regular","wheat gluten","Wheat",15,0.0000491085166457269,0.0000547172068555385,0.000125450261719422
"ALB","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000863018509879361,0.000108656218913683,0.0000456697315550357
"ALB","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00435635660517258,0.00435635660517258,0.00435635660517258
"ALB","fish-dominant","efficient","soybean meal","Soya beans",236,0.0000490204257343648,0.0000370565592569162,0.0000413769187739524
"ALB","fish-dominant","efficient","wheat","Wheat",15,0.00102021368393396,0.00102021368393396,0.00102021368393396
"ALB","fish-dominant","efficient","wheat gluten","Wheat",15,0.00189468255587735,0.00211107450227866,0.00484006520141389
"ALB","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.000112192406284317,0.000141253084587787,0.0000593706510215465
"ALB","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.00555391136421218,0.00555391136421218,0.00555391136421218
"ALB","fish-dominant","regular","soybean meal","Soya beans",236,0.0000637265534546742,0.0000481735270339911,0.0000537899944061381
"ALB","fish-dominant","regular","wheat","Wheat",15,0.00132627778911415,0.00132627778911415,0.00132627778911415
"ALB","fish-dominant","regular","wheat gluten","Wheat",15,0.00246308732264056,0.00274439685296226,0.00629208476183806
"ALB","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.00000000932492461528835,0.0000000146955982317404,0.0000000156266279406917
"ALB","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0351442191494767,0.0714697952175872,0.126653297069551
"ALB","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000151028239228888,0.0000190148383098945,0.00000799220302213126
"ALB","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00784144188931065,0.00784144188931065,0.00784144188931065
"ALB","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,0.00936616670112105,0.00997954352250424,0.00419862645222668
"ALB","plant-dominant","efficient","linseed oil","Linseed",333,0.467950602856971,0.75496636810352,0.68549664583164
"ALB","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.00640640677231262,0.00640640677231262,0.00640640677231262
"ALB","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.00367403569110941,0.00455925848571526,0.00786967434602702
"ALB","plant-dominant","efficient","soy oil","Soya beans",236,0.0000011726254745051,0.0000019873949411052,0.00000193916210784193
"ALB","plant-dominant","efficient","soy protein concentrate","Soya beans",236,0.0000741563771816354,0.0000639380881840469,0.0000650994383223436
"ALB","plant-dominant","efficient","sunflower meal","Sunflower seed",267,0.0945047768814955,0.0506570676199274,0.039199279484397
"ALB","plant-dominant","efficient","wheat","Wheat",15,0.000947341277938675,0.000947341277938675,0.000947341277938675
"ALB","plant-dominant","efficient","wheat gluten","Wheat",15,0.00142829915750754,0.00159142539402545,0.00364866453645047
"ALB","plant-dominant","regular","canola oil","Rape or colza seed",270,0.0000000121224019998748,0.0000000191042777012625,0.0000000203146163228992
"ALB","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.036094662672588,0.0734026309899153,0.130078520585499
"ALB","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.0000196336710997555,0.0000247192898028628,0.0000103898639287706
"ALB","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.00999704045558193,0.00999704045558193,0.00999704045558193
"ALB","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,0.0119409094330562,0.0127229024624559,0.00535282146999071
"ALB","plant-dominant","regular","linseed oil","Linseed",333,0.480605902373792,0.775383748602968,0.704035280717057
"ALB","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,0.00816751671207674,0.00816751671207674,0.00816751671207674
"ALB","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,0.00468402163246811,0.00581259061439752,0.0100330339649311
"ALB","plant-dominant","regular","soy oil","Soya beans",236,0.00000152441311685663,0.00000258361342343676,0.00000252091074019451
"ALB","plant-dominant","regular","soy protein concentrate","Soya beans",236,0.0000964032903361261,0.000083119514639261,0.0000846292698190467
"ALB","plant-dominant","regular","sunflower meal","Sunflower seed",267,0.122856209945944,0.0658541879059056,0.0509590633297162
"ALB","plant-dominant","regular","wheat","Wheat",15,0.00123154366132028,0.00123154366132028,0.00123154366132028
"ALB","plant-dominant","regular","wheat gluten","Wheat",15,0.0018567889047598,0.00206885301223309,0.00474326389738562
