"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AGO","plant-dominant","regular","wheat gluten","Wheat",15,0.00000594446261838761,0.00000662338048371154,0.0000151854391497475
"ALA","fish-dominant","efficient","wheat","Wheat",15,0.0000315697607008245,0.0000315697607008245,0.0000315697607008245
"ALA","fish-dominant","efficient","wheat gluten","Wheat",15,0.0000586295555872454,0.0000653256449193674,0.000149772251236453
"ALA","fish-dominant","regular","wheat","Wheat",15,0.0000350775118898049,0.0000350775118898049,0.0000350775118898049
"ALA","fish-dominant","regular","wheat gluten","Wheat",15,0.0000651439506524949,0.0000725840499104082,0.000166413612484948
"ALA","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.000035791861688349,0.0000564061202677866,0.0000599796919528483
"ALA","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.00000000955941357354564,0.0000000194401624800847,0.0000000344503669861449
"ALA","plant-dominant","efficient","linseed oil","Linseed",333,0.000000127285040127756,0.000000205354847012634,0.000000186458714957125
"ALA","plant-dominant","efficient","wheat","Wheat",15,0.0000293147777936227,0.0000293147777936227,0.0000293147777936227
"ALA","plant-dominant","efficient","wheat gluten","Wheat",15,0.0000441976649811542,0.0000492454861699847,0.00011290523554748
"ALA","plant-dominant","regular","canola oil","Rape or colza seed",270,0.0000397687352092767,0.0000626734669642073,0.0000666441021698314
"ALA","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.0000000106215706372729,0.0000000216001805334275,0.000000038278185540161
"ALA","plant-dominant","regular","linseed oil","Linseed",333,0.000000141427822364174,0.00000022817205223626,0.000000207176349952361
"ALA","plant-dominant","regular","wheat","Wheat",15,0.0000325719753262474,0.0000325719753262474,0.0000325719753262474
"ALA","plant-dominant","regular","wheat gluten","Wheat",15,0.0000491085166457269,0.0000547172068555385,0.000125450261719422
"ALB","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000997050568250421,0.000125531194953134,0.0000527625204761341
"ALB","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00355057808460324,0.00355057808460324,0.00355057808460324
"ALB","fish-dominant","efficient","soybean meal","Soya beans",236,0.0000573620054128983,0.0000433623029754406,0.000048417838138371
"ALB","fish-dominant","efficient","wheat","Wheat",15,0.00119365001020273,0.00119365001020273,0.00119365001020273
"ALB","fish-dominant","efficient","wheat gluten","Wheat",15,0.0022167785903765,0.00246995716766604,0.00566287628565425
"ALB","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.000110783396472269,0.000139479105503482,0.0000586250227512602
"ALB","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.00394508676067027,0.00394508676067027,0.00394508676067027
"ALB","fish-dominant","regular","soybean meal","Soya beans",236,0.000063735561569887,0.0000481803366393785,0.0000537975979315233
"ALB","fish-dominant","regular","wheat","Wheat",15,0.00132627778911415,0.00132627778911415,0.00132627778911415
"ALB","fish-dominant","regular","wheat gluten","Wheat",15,0.00246308732264056,0.00274439685296226,0.00629208476183806
"ALB","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.0000000109101617998874,0.0000000171938499311362,0.0000000182831546906093
"ALB","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0000670372806703027,0.000136327988995078,0.000241590020462786
"ALB","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000174483849443824,0.0000219679591167985,0.00000923344108332348
