iso3c,diet,animal_system,SPAM_super,product,tonnes_product
CAN,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,1304.6258333333335
CAN,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,645.5880412371133
CAN,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,37181.83625
CAN,plant-dominant,salmon_aquaculture_meat,whea,wheat,10176.0815
CAN,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,15497.373535353538
CAN,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,6048.719772727274
CAN,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,2076.751326530612
CAN,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,29394.01877551021
CAN,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,5635.9836000000005
CAN,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,7649.851477272728
CAN,plant-dominant,salmon_aquaculture_meat,xpul,pea other,4447.588068181818
CAN,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,2490.649318181818
CHE,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
CHE,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,9.86761904761905
CHE,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
CHE,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
CHE,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,40.03113636363638
CHE,fish-dominant,salmon_aquaculture_meat,whea,wheat,14.505400000000003
CHE,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,27.210707070707077
CHE,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
CHE,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
CHE,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
CHE,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,4.144400000000001
CHE,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
CHE,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
CHE,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
CHE,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0.986761904761905
CHE,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,1.7268333333333337
CHE,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0.854515463917526
CHE,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,49.21475
CHE,plant-dominant,salmon_aquaculture_meat,whea,wheat,13.469300000000002
CHE,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,20.512686868686867
CHE,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,8.006227272727275
CHE,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,2.748836734693878
CHE,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,38.906612244897964
CHE,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,7.45992
CHE,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,10.125522727272728
CHE,plant-dominant,salmon_aquaculture_meat,xpul,pea other,5.886931818181819
CHE,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,3.2966818181818187
CHL,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
CHL,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,52475.4
CHL,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
CHL,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
CHL,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,212883.15681818183
CHL,fish-dominant,salmon_aquaculture_meat,whea,wheat,77138.838
CHL,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,144704.8909090909
CHL,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
CHL,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
CHL,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
CHL,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,22039.668
CHL,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
CHL,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
CHL,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
CHL,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,5247.54
CHL,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,9183.195000000002
CHL,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,4544.2614432989685
CHL,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,261721.0575
CHL,plant-dominant,salmon_aquaculture_meat,whea,wheat,71628.921
CHL,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,109085.22545454545
CHL,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,42576.63136363636
CHL,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,14618.147142857142
CHL,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,206903.0057142857
CHL,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,39671.40239999999
CHL,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,53846.91613636364
CHL,plant-dominant,salmon_aquaculture_meat,xpul,pea other,31306.346590909096
CHL,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,17531.554090909092
DNK,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
DNK,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,120.0952380952381
DNK,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
DNK,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
DNK,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,487.20454545454544
DNK,fish-dominant,salmon_aquaculture_meat,whea,wheat,176.54000000000005
DNK,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,331.17171717171715
DNK,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
DNK,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
DNK,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
DNK,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,50.44
DNK,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
DNK,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
DNK,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
DNK,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,12.00952380952381
DNK,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,21.01666666666667
DNK,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,10.4
DNK,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,598.9749999999999
DNK,plant-dominant,salmon_aquaculture_meat,whea,wheat,163.93
DNK,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,249.65252525252527
DNK,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,97.4409090909091
DNK,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,33.45510204081633
DNK,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,473.5183673469388
DNK,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,90.792
DNK,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,123.23409090909091
DNK,plant-dominant,salmon_aquaculture_meat,xpul,pea other,71.64772727272727
DNK,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,40.122727272727275
FRO,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
FRO,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,5506.4285714285725
FRO,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
FRO,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
FRO,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,22338.579545454544
FRO,fish-dominant,salmon_aquaculture_meat,whea,wheat,8094.450000000001
FRO,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,15184.39393939394
FRO,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
FRO,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
FRO,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
FRO,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,2312.7000000000003
FRO,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
FRO,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
FRO,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
FRO,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,550.6428571428571
FRO,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,963.625
FRO,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,476.8453608247423
FRO,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,27463.3125
FRO,plant-dominant,salmon_aquaculture_meat,whea,wheat,7516.275
FRO,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,11446.69696969697
FRO,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,4467.715909090909
FRO,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,1533.9336734693877
FRO,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,21711.061224489797
FRO,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,4162.86
FRO,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,5650.34659090909
FRO,plant-dominant,salmon_aquaculture_meat,xpul,pea other,3285.0852272727275
FRO,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,1839.6477272727273
GBR,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
GBR,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,11028.57142857143
GBR,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
GBR,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
GBR,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,44740.90909090909
GBR,fish-dominant,salmon_aquaculture_meat,whea,wheat,16212.000000000002
GBR,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,30412.121212121212
GBR,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
GBR,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
GBR,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
GBR,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,4632
GBR,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
GBR,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
GBR,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
GBR,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,1102.857142857143
GBR,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,1930
GBR,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,955.0515463917526
GBR,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,55005
GBR,plant-dominant,salmon_aquaculture_meat,whea,wheat,15054
GBR,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,22926.060606060608
GBR,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,8948.181818181818
GBR,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,3072.2448979591836
GBR,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,43484.08163265306
GBR,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,8337.599999999999
GBR,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,11316.81818181818
GBR,plant-dominant,salmon_aquaculture_meat,xpul,pea other,6579.545454545455
GBR,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,3684.5454545454545
IRL,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
IRL,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,796.7142857142857
IRL,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
IRL,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
IRL,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,3232.125
IRL,fish-dominant,salmon_aquaculture_meat,whea,wheat,1171.17
IRL,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,2197.0000000000005
IRL,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
IRL,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
IRL,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
IRL,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,334.62
IRL,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
IRL,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
IRL,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
IRL,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,79.67142857142858
