"iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","map_spam_code","producing_ingredient_consumed_tonnes"
"AUS","AUT","Soybean",0.0419349427749319,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,"soyb",0
"AUS","AUT","Soybean",0.0419349427749319,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,"soyb",667.881085598895
"AUS","BGD","CropsNES",0.000116163407000104,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.0108828717055833
"AUS","BGD","CropsNES",0.000116163407000104,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.141477332172583
"AUS","BGD","CropsNES",0.000116163407000104,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","BGD","CropsNES",0.000116163407000104,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",0.0162583875930974
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",0.0194197407361997
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",0.011290546939651
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",0.00632270628620454
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",0.00903243755172077
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","BGD","Pulses",0.00000482059675014483,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","BTN","CropsNES",0.0000000166470918601467,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00000155959755024123
