animal,diet,tonnes_fofm,true_tonnes_fish,true_tonnes_fofm,correction
salmon,fish-dominant,1982499.2407000002,2813892,787889.7600000001,0.39742247756009447
salmon,plant-dominant,807417.872576,2813892,787889.7600000001,0.9758141190091605
