"iso3c","animal_system","source_ingredient","ingredient_demand","source","product","included_source","ext_rate","crop","crop_loss","tonnes_product"
"CHL","salmon_aquaculture_meat","wheat",20.566,"salmon","wheat","mapspam",100,"wheat",0,20.566
"CHL","salmon_aquaculture_meat","wheat gluten",31.0072,"salmon","wheat gluten","mapspam",15,"wheat",1,31.320404040404
"CHL","salmon_aquaculture_meat","coconut oil",1101.667,"salmon","oil of coconuts","mapspam",13,"coconut",79,5246.03333333333
"CHL","salmon_aquaculture_meat","corn gluten",7711.669,"salmon","maize gluten","mapspam",10,"maize",16,9180.55833333333
"CHL","salmon_aquaculture_meat","faba beans",39660.012,"salmon","faba bean","mapspam",100,"faba bean",0,39660.012
"CHL","salmon_aquaculture_meat","guar protein",47371.681,"salmon","guar protein","mapspam",25,"pea",12,53831.4556818182
"CHL","salmon_aquaculture_meat","linseed oil",14321.671,"salmon","oil of linseed","mapspam",35,"linseed",2,14613.95
"CHL","salmon_aquaculture_meat","pea flour",27541.675,"salmon","pea other","mapspam",63,"pea",12,31297.3579545455
"CHL","salmon_aquaculture_meat","pea protein",15423.338,"salmon","pea protein","mapspam",25,"pea",12,17526.5204545455
"CHL","salmon_aquaculture_meat","rapeseed and camelina oil",202706.728,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,206843.6
"CHL","salmon_aquaculture_meat","soy protein concentrate",230248.403,"salmon","soy protein concentrate","mapspam",33,"soybean",12,261645.9125
"CHL","salmon_aquaculture_meat","soybean oil",4406.668,"salmon","oil of soya bean","mapspam",18,"soybean",3,4542.95670103093
"CHL","salmon_aquaculture_meat","sunflower",37456.678,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,42564.4068181818
"CHL","salmon_aquaculture_meat","wheat",71608.355,"salmon","wheat","mapspam",100,"wheat",0,71608.355
"CHL","salmon_aquaculture_meat","wheat gluten",107963.366,"salmon","wheat gluten","mapspam",15,"wheat",1,109053.905050505
"DNK","salmon_aquaculture_meat","coconut oil",2.522,"salmon","oil of coconuts","mapspam",13,"coconut",79,12.0095238095238
"DNK","salmon_aquaculture_meat","corn gluten",17.654,"salmon","maize gluten","mapspam",10,"maize",16,21.0166666666667
"DNK","salmon_aquaculture_meat","faba beans",90.792,"salmon","faba bean","mapspam",100,"faba bean",0,90.792
"DNK","salmon_aquaculture_meat","guar protein",108.446,"salmon","guar protein","mapspam",25,"pea",12,123.234090909091
"DNK","salmon_aquaculture_meat","linseed oil",32.786,"salmon","oil of linseed","mapspam",35,"linseed",2,33.4551020408163
"DNK","salmon_aquaculture_meat","pea flour",63.05,"salmon","pea other","mapspam",63,"pea",12,71.6477272727273
"DNK","salmon_aquaculture_meat","pea protein",35.308,"salmon","pea protein","mapspam",25,"pea",12,40.1227272727273
"DNK","salmon_aquaculture_meat","rapeseed and camelina oil",464.048,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,473.518367346939
"DNK","salmon_aquaculture_meat","soy protein concentrate",527.098,"salmon","soy protein concentrate","mapspam",33,"soybean",12,598.975
"DNK","salmon_aquaculture_meat","soybean oil",10.088,"salmon","oil of soya bean","mapspam",18,"soybean",3,10.4
"DNK","salmon_aquaculture_meat","sunflower",85.748,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,97.4409090909091
"DNK","salmon_aquaculture_meat","wheat",163.93,"salmon","wheat","mapspam",100,"wheat",0,163.93
"DNK","salmon_aquaculture_meat","wheat gluten",247.156,"salmon","wheat gluten","mapspam",15,"wheat",1,249.652525252525
"FRO","salmon_aquaculture_meat","coconut oil",115.635,"salmon","oil of coconuts","mapspam",13,"coconut",79,550.642857142857
"FRO","salmon_aquaculture_meat","corn gluten",809.445,"salmon","maize gluten","mapspam",10,"maize",16,963.625
"FRO","salmon_aquaculture_meat","faba beans",4162.86,"salmon","faba bean","mapspam",100,"faba bean",0,4162.86
