SPAM_short_name,iso3c,2021,2010,coef
cass,BLZ,692,411,1.683698296836983
cass,BOL,211527.15,266240,0.7944980093149038
cass,BRA,18098115,24967052,0.724879933762304
cass,BRB,633.94,400,1.58485
cass,BRN,3195.62,3100,1.0308451612903224
cass,CAF,821510.18,678958,1.209957287490537
cass,CHN,4953581.18,4550000,1.0886991604395604
cass,CIV,6961619.7,2306839,3.017817758413136
cass,CMR,4993653.94,3808239,1.311276403608072
cass,COD,45673454,31268811,1.46067127400527
cass,COG,1624900.39,1148500,1.4148022551153678
cass,COK,0,27.25,0
cass,COL,984366.26,2082440,0.47269849791590635
cass,COM,66069.84,63783.71,1.0358419101052603
cass,CPV,2510,4758.39,0.5274893398817667
cass,CRI,107052.2,130150,0.8225293891663465
cass,CUB,664921,405896,1.6381560793897945
cass,DMA,1226.85,1080.19,1.1357724104092797
cass,DOM,167939.27,204920.48,0.8195338503989449
cass,ECU,96210,53857,1.786397311398704
cass,FJI,86194.46,51716,1.666688452316498
cass,FSM,9148.23,10533.9,0.8684561273602369
cass,GAB,320181.03,260558.34,1.2288266420487635
cass,GHA,22681510.4,13504086,1.6796035214823126
cass,GIN,2743166,1062233,2.5824522491769697
cass,GMB,11827.21,9397.22,1.2585860499168904
cass,GNB,49274,68328,0.7211392108652382
cass,GNQ,73705.31,64144.84,1.1490450362024445
cass,GRD,0,216.71,0
cass,GTM,3051.07,4095.94,0.7449010483552005
cass,GUY,75186,9612,7.822097378277154
cass,HND,26431.99,23184,1.1400961870255348
cass,HTI,636106.6,561330,1.1332132613614094
cass,IDN,17749000,23918118,0.7420734357109535
cass,IND,6941000,8059800,0.8611876225216507
cass,JAM,24074,18490,1.3020010816657652
cass,KEN,711890,323389,2.2013426554397335
cass,KHM,7722226.42,4247419,1.818098572332986
cass,LAO,2885715.52,500090,5.770392369373512
cass,LBR,625638.62,493000,1.2690438539553752
cass,LCA,1331.48,1210.72,1.099742302101229
cass,LKA,314382.3,282760,1.1118344178808883
cass,MDG,2439642,3008886,0.8108123737489555
