"sector","area_code","area","element_code","element","item_code","item","year_code","year","value"
"Crops",2,"Afghanistan",5510,"Production",27,"Rice",2010,2010,672000
"Crops",2,"Afghanistan",5510,"Production",27,"Rice",2021,2021,458571.64
"Crops",2,"Afghanistan",5510,"Production",328,"Seed cotton, unginned",2010,2010,33000
"Crops",2,"Afghanistan",5510,"Production",328,"Seed cotton, unginned",2021,2021,72885.79
"Crops",2,"Afghanistan",5510,"Production",289,"Sesame seed",2010,2010,32000
"Crops",2,"Afghanistan",5510,"Production",289,"Sesame seed",2021,2021,39937.88
"Crops",2,"Afghanistan",5510,"Production",987,"Shorn wool, greasy, including fleece-washed shorn wool",2010,2010,15900
"Crops",2,"Afghanistan",5510,"Production",987,"Shorn wool, greasy, including fleece-washed shorn wool",2021,2021,13146.92
"Crops",2,"Afghanistan",5510,"Production",157,"Sugar beet",2010,2010,15200
"Crops",2,"Afghanistan",5510,"Production",157,"Sugar beet",2021,2021,3540.98
"Crops",2,"Afghanistan",5510,"Production",156,"Sugar cane",2010,2010,92400
"Crops",2,"Afghanistan",5510,"Production",156,"Sugar cane",2021,2021,37638.03
"Crops",2,"Afghanistan",5510,"Production",267,"Sunflower seed",2010,2010,245
"Crops",2,"Afghanistan",5510,"Production",267,"Sunflower seed",2021,2021,250.46
"Crops",2,"Afghanistan",5510,"Production",268,"Sunflower-seed oil, crude",2010,2010,60.48
"Crops",2,"Afghanistan",5510,"Production",222,"Walnuts, in shell",2010,2010,11900
"Crops",2,"Afghanistan",5510,"Production",222,"Walnuts, in shell",2021,2021,14743.47
"Crops",2,"Afghanistan",5510,"Production",567,"Watermelons",2010,2010,251420
"Crops",2,"Afghanistan",5510,"Production",567,"Watermelons",2021,2021,938993.7
"Crops",2,"Afghanistan",5510,"Production",15,"Wheat",2010,2010,4532000
"Crops",2,"Afghanistan",5510,"Production",15,"Wheat",2021,2021,3900000
"Crops",2,"Afghanistan",5510,"Production",1717,"Cereals, primary",2010,2010,5957000
"Crops",2,"Afghanistan",5510,"Production",1717,"Cereals, primary",2021,2021,4663880.79
"Crops",2,"Afghanistan",5510,"Production",1804,"Citrus Fruit, Total",2010,2010,4000
"Crops",2,"Afghanistan",5510,"Production",1804,"Citrus Fruit, Total",2021,2021,14425.11
"Crops",2,"Afghanistan",5510,"Production",17530,"Fibre Crops, Fibre Equivalent",2010,2010,22440
"Crops",2,"Afghanistan",5510,"Production",17530,"Fibre Crops, Fibre Equivalent",2021,2021,25510.03
"Crops",2,"Afghanistan",5510,"Production",1738,"Fruit Primary",2010,2010,1360109.12
"Crops",2,"Afghanistan",5510,"Production",1738,"Fruit Primary",2021,2021,3644591.58
"Crops",2,"Afghanistan",5510,"Production",1841,"Oilcrops, Cake Equivalent",2010,2010,27794
"Crops",2,"Afghanistan",5510,"Production",1841,"Oilcrops, Cake Equivalent",2021,2021,64203
