"allocation","diet","fcr","spp_type","ingredient_raw_material","med_ad","mean_ad","global_mean","lower_med_ad","upper_med_ad","lower_mean_ad","upper_mean_ad","range_med_ad","range_mean_ad"
"ge","fish-dominant","efficient","Amphibians","forage fish_fish meal",0.0000000876212062905779,0.000000112104658222721,0.000000120340071452149,0.000000032718865161571,0.000000207961277742727,0.00000000823541322942779,0.00000023244472967487,0.000000175242412581156,0.000000224209316445442
"ge","fish-dominant","efficient","Bird","Wheat_wheat gluten",0.00000419721378324108,0.00000688107273652029,0.00000419820455193039,0.000000000990768689312915,0.00000839541833517148,-0.0000026828681845899,0.0000110792772884507,0.00000839442756648216,0.0000137621454730406
"ge","fish-dominant","efficient","Bird","Wheat_wheat",0.00000202812774108868,0.00000332466485553474,0.00000202860984813741,0.000000000482107048727087,0.0000040567375892261,-0.00000129605500739732,0.00000535327470367215,0.00000405625548217737,0.00000664932971106947
"ge","fish-dominant","efficient","Bird","Soybean_soybean meal",0.00000791489066302393,0.000012361020039128,0.00000796792768313299,0.0000000530370201090591,0.0000158828183461569,-0.00000439309235599504,0.000020328947722261,0.0000158297813260479,0.0000247220400782561
"ge","fish-dominant","efficient","Bird","Pulses_faba beans",0.000000713011017480958,0.00000117398757065134,0.000000716176905033072,0.00000000316588755211455,0.00000142918792251403,-0.000000457810665618268,0.00000189016447568441,0.00000142602203496192,0.00000234797514130268
"ge","fish-dominant","efficient","Bird","Maize_corn gluten meal",0.000000515663434314817,0.000000883288744174576,0.000000515684566757835,0.0000000000211324430177129,0.00000103134800107265,-0.000000367604177416741,0.00000139897331093241,0.00000103132686862963,0.00000176657748834915
"ge","fish-dominant","efficient","Bird","trimmings fish_fish oil, cut offs",0.00000104720515332231,0.00000182445567206469,0.00000104778692475889,0.00000000058177143658078,0.0000020949920780812,-0.000000776668747305803,0.00000287224259682358,0.00000209441030664462,0.00000364891134412938
"ge","fish-dominant","efficient","Bird","trimmings fish_fish meal, cut offs",0.00000032262512339189,0.00000057081508401442,0.000000323540562005692,0.000000000915438613802166,0.000000646165685397582,-0.000000247274522008727,0.000000894355646020112,0.00000064525024678378,0.00000114163016802884
"ge","fish-dominant","efficient","Bird","forage fish_fish oil",0.0000000947167789486834,0.000000144936042028534,0.0000000950568684607909,0.000000000340089512107511,0.000000189773647409474,-0.0000000498791735677431,0.000000239992910489325,0.000000189433557897367,0.000000289872084057068
"ge","fish-dominant","efficient","Bird","forage fish_fish meal",0.0000000362398372560718,0.0000000586778359040529,0.0000000366116481714613,0.000000000371810915389403,0.0000000728514854275331,-0.0000000220661877325916,0.0000000952894840755141,0.0000000724796745121437,0.000000117355671808106
"ge","fish-dominant","efficient","Marine mammal","trimmings fish_fish oil, cut offs",0.00000094723890151653,0.00000138003002535291,0.000000948047198695719,0.000000000808297179188955,0.00000189528610021225,-0.000000431982826657188,0.00000232807722404863,0.00000189447780303306,0.00000276006005070581
"ge","fish-dominant","efficient","Marine mammal","trimmings fish_fish meal, cut offs",0.000000436994837646395,0.000000649777480007807,0.000000437544728529223,0.000000000549890882828308,0.000000874539566175618,-0.000000212232751478583,0.00000108732220853703,0.00000087398967529279,0.00000129955496001561
"ge","fish-dominant","efficient","Marine mammal","forage fish_fish oil",0.000000655976311905334,0.00000116808266424155,0.000000656832391473679,0.000000000856079568345436,0.00000131280870337901,-0.000000511250272767868,0.00000182491505571523,0.00000131195262381067,0.00000233616532848309
"ge","fish-dominant","efficient","Marine mammal","forage fish_fish meal",0.000000679127515080047,0.00000126482342404728,0.000000679482684418431,0.000000000355169338384087,0.00000135861019949848,-0.000000585340739628849,0.00000194430610846571,0.00000135825503016009,0.00000252964684809456
"ge","fish-dominant","efficient","elasmobranchs","trimmings fish_fish oil, cut offs",0.000000596749153437782,0.00000087214416071515,0.000000597114546847755,0.000000000365393409973436,0.00000119386370028554,-0.000000275029613867395,0.00000146925870756291,0.00000119349830687556,0.0000017442883214303
"ge","fish-dominant","efficient","elasmobranchs","trimmings fish_fish meal, cut offs",0.000000252684677307819,0.000000375428213455511,0.000000252952083405084,0.000000000267406097265166,0.000000505636760712903,-0.000000122476130050427,0.000000628380296860595,0.000000505369354615638,0.000000750856426911021
"ge","fish-dominant","efficient","elasmobranchs","forage fish_fish oil",0.000000566053234556395,0.000000988119984572004,0.000000566621098867525,0.00000000056786431112954,0.00000113267433342392,-0.000000421498885704479,0.00000155474108343953,0.00000113210646911279,0.00000197623996914401
"ge","fish-dominant","efficient","elasmobranchs","forage fish_fish meal",0.000000326574290166106,0.000000586933124138453,0.000000326813840129305,0.000000000239549963199082,0.000000653388130295411,-0.000000260119284009149,0.000000913746964267758,0.000000653148580332212,0.00000117386624827691
"ge","fish-dominant","efficient","corals","trimmings fish_fish oil, cut offs",0.000000173760372345794,0.000000235563918345758,0.000000173870725072751,0.000000000110352726956364,0.000000347631097418545,-0.0000000616931932730077,0.000000409434643418509,0.000000347520744691589,0.000000471127836691517
"ge","fish-dominant","efficient","corals","trimmings fish_fish meal, cut offs",0.00000000545742920674337,0.00000000801796251911137,0.00000000586051238469006,0.000000000403083177946684,0.0000000113179415914334,-0.00000000215745013442131,0.0000000138784749038014,0.0000000109148584134867,0.0000000160359250382227
"ge","fish-dominant","efficient","corals","forage fish_fish oil",0.00000124428612386752,0.00000205924581632502,0.00000124625217752074,0.0000000019660536532129,0.00000249053830138826,-0.000000812993638804285,0.00000330549799384576,0.00000248857224773505,0.00000411849163265004
"ge","fish-dominant","efficient","corals","forage fish_fish meal",0.000000228920280024235,0.000000381740470283301,0.000000230131779091968,0.00000000121149906773255,0.000000459052059116203,-0.000000151608691191333,0.000000611872249375269,0.000000457840560048471,0.000000763480940566602
"ge","fish-dominant","efficient","Marine plant","trimmings fish_fish oil, cut offs",0.000000953819949572928,0.00000112781179599135,0.000000973280390831374,0.0000000194604412584454,0.0000019271003404043,-0.000000154531405159972,0.00000210109218682272,0.00000190763989914586,0.00000225562359198269
"ge","fish-dominant","efficient","Marine plant","trimmings fish_fish meal, cut offs",0.000000220153488731837,0.00000035142718272403,0.000000227503619014028,0.000000007350130282191,0.000000447657107745865,-0.000000123923563710002,0.000000578930801738058,0.000000440306977463674,0.00000070285436544806
"ge","fish-dominant","efficient","Marine plant","forage fish_fish oil",0.00000561214331194033,0.0000085556435000769,0.0000056470164296672,0.0000000348731177268746,0.0000112591597416075,-0.0000029086270704097,0.0000142026599297441,0.0000112242866238807,0.0000171112870001538
"ge","fish-dominant","efficient","Marine plant","forage fish_fish meal",0.00000142148889942599,0.00000225846912150439,0.00000143198057983933,0.0000000104916804133381,0.00000285346947926532,-0.00000082648854166506,0.00000369044970134372,0.00000284297779885199,0.00000451693824300878
"ge","fish-dominant","efficient","echinoderms","trimmings fish_fish oil, cut offs",0.000000309154223871545,0.000000422793498185982,0.000000309905624146879,0.000000000751400275333935,0.000000619059848018424,-0.000000112887874039103,0.000000732699122332861,0.00000061830844774309,0.000000845586996371963
"ge","fish-dominant","efficient","echinoderms","trimmings fish_fish meal, cut offs",0.0000000177521369394283,0.0000000225808607209451,0.0000000189916258953458,0.00000000123948895591752,0.0000000367437628347741,-0.00000000358923482559925,0.0000000415724866162909,0.0000000355042738788566,0.0000000451617214418902
"ge","fish-dominant","efficient","echinoderms","forage fish_fish oil",0.00000174126856670652,0.00000284089410760633,0.00000174439879111952,0.00000000313022441300603,0.00000348566735782604,-0.0000010964953164868,0.00000458529289872585,0.00000348253713341303,0.00000568178821521265
