"TaxonName","DietTroph","SpecCode","Genus","Subfamily","Family","Order","Class","SuperClass"
"Engraulis encrasicolus",3.12,66,"Engraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"Engraulis japonicus",3.14,1663,"Engraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"Engraulis mordax",3.1,1664,"Engraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"Engraulis ringens",2.85999989509583,4,"Engraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"Epinephelus merra",3.82,4923,"Epinephelus",NA,"Epinephelidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"Ethmalosa fimbriata",2.46000003814697,1594,"Ethmalosa",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Ethmidium maculatum",2.07,1593,"Ethmidium",NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"Etmopterus spinax",4.14,687,"Etmopterus",NA,"Etmopteridae","Squaliformes","Elasmobranchii","Chondrichthyes"
"Etrumeus whiteheadi",3.4,1456,"Etrumeus",NA,"Dussumieriidae","Clupeiformes","Teleostei","Osteichthyes"
"Eutrigla gurnardus",3.87,68,"Eutrigla","Triglinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"Gerres nigri",3.19,9907,"Gerres",NA,"Gerreidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Gerres oyena",2.72,5996,"Gerres",NA,"Gerreidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Grammoplites suppositus",3.84,28128,"Grammoplites",NA,"Platycephalidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"Harpadon nehereus",4.08,260,"Harpadon","Harpadontinae","Synodontidae","Aulopiformes","Teleostei","Osteichthyes"
"Hemiramphus brasiliensis",2.28,1059,"Hemiramphus",NA,"Hemiramphidae","Beloniformes","Teleostei","Osteichthyes"
"Ilisha africana",3.59,1625,"Ilisha",NA,"Pristigasteridae","Clupeiformes","Teleostei","Osteichthyes"
"Ilisha elongata",3.79,1627,"Ilisha",NA,"Pristigasteridae","Clupeiformes","Teleostei","Osteichthyes"
"Isacia conceptionis",2.91,397,"Isacia","Haemulinae","Haemulidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Konosirus punctatus",2.94,1609,"Konosirus",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Lactarius lactarius",4.17,363,"Lactarius",NA,"Lactariidae","Carangaria/misc","Teleostei","Osteichthyes"
"Larimichthys polyactis",3.72,416,"Larimichthys",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Lepidorhombus boscii",3.74,27,"Lepidorhombus",NA,"Scophthalmidae","Pleuronectiformes","Teleostei","Osteichthyes"
"Lethrinus borbonicus",3.47000002861023,1844,"Lethrinus","Lethrininae","Lethrinidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Limanda limanda",3,695,"Limanda","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"Lutjanus quinquelineatus",3.68,172,"Lutjanus","Lutjaninae","Lutjanidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Macrodon ancylodon",3.9,417,"Macrodon",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Macroramphosus scolopax",3.47,333,"Macroramphosus","Macroramphosinae","Centriscidae","Syngnathiformes","Teleostei","Osteichthyes"
"Mallotus villosus",3.15,252,"Mallotus",NA,"Osmeridae","Osmeriformes","Teleostei","Osteichthyes"
"Mene maculata",3.45,390,"Mene",NA,"Menidae","Carangaria/misc","Teleostei","Osteichthyes"
"Menidia menidia",3.19,339,"Menidia","Menidiinae","Atherinopsidae","Atheriniformes","Teleostei","Osteichthyes"
"Merluccius productus",4.35,326,"Merluccius",NA,"Merlucciidae","Gadiformes","Teleostei","Osteichthyes"
"Micromesistius australis",3.66,320,"Micromesistius",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"Micromesistius poutassou",4.13,31,"Micromesistius",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"Mulloidichthys flavolineatus",3.84,5983,"Mulloidichthys",NA,"Mullidae","Mulliformes","Teleostei","Osteichthyes"
"Mullus argentinae",3.45,14063,"Mullus",NA,"Mullidae","Mulliformes","Teleostei","Osteichthyes"
"Mullus surmuletus",3.45,1327,"Mullus",NA,"Mullidae","Mulliformes","Teleostei","Osteichthyes"
"Nematalosa nasus",2.21,1616,"Nematalosa",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Nemipterus japonicus",4.12,4559,"Nemipterus",NA,"Nemipteridae","Eupercaria/misc","Teleostei","Osteichthyes"
"Nemipterus virgatus",3.99,396,"Nemipterus",NA,"Nemipteridae","Eupercaria/misc","Teleostei","Osteichthyes"
"Normanichthys crockeri",2.75,4313,"Normanichthys",NA,"Normanichthyidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"Opisthonema libertate",2.89,1484,"Opisthonema",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Opisthonema oglinum",4.5,1486,"Opisthonema",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Pagellus acarne",3.81,889,"Pagellus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Pagellus bellottii",3.6,436,"Pagellus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Patagonotothen ramsayi",3.66,10308,"Patagonotothen","Nototheniinae","Nototheniidae","Perciformes/Notothenioidei","Teleostei","Osteichthyes"
"Pelates quadrilineatus",3.59,7945,"Pelates",NA,"Terapontidae","Centrarchiformes","Teleostei","Osteichthyes"
"Pennahia argentata",4.06,434,"Pennahia",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Pentanemus quinquarius",3.56,342,"Pentanemus",NA,"Polynemidae","Carangaria/misc","Teleostei","Osteichthyes"
"Peprilus paru",4.5,28143,"Peprilus",NA,"Stromateidae","Scombriformes","Teleostei","Osteichthyes"
"Peprilus triacanthus",3.91,492,"Peprilus",NA,"Stromateidae","Scombriformes","Teleostei","Osteichthyes"
"Pomadasys stridens",4.02,7708,"Pomadasys","Haemulinae","Haemulidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Priacanthus macracanthus",4.11,356,"Priacanthus",NA,"Priacanthidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Psenopsis anomala",4,497,"Psenopsis",NA,"Centrolophidae","Scombriformes","Teleostei","Osteichthyes"
"Pseudotolithus elongatus",4.06,433,"Pseudotolithus",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Rastrelliger brachysoma",2.72,109,"Rastrelliger","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"Rastrelliger kanagurta",3.19000005722046,111,"Rastrelliger","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"Rhabdosargus haffara",3.5,8166,"Rhabdosargus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Sardina pilchardus",3.06,1350,"Sardina",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinella aurita",3.4,1043,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
