"iso3c","raw_name","prop_diet","production_system","species","diet"
"DZA","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"DZA","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"DZA","wheat",0.065,"aquaculture","salmon","plant-dominant"
"DZA","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ASM","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ASM","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ASM","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ASM","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ASM","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ASM","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ASM","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ASM","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ASM","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ASM","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ASM","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ASM","other",0.004,"aquaculture","salmon","plant-dominant"
"ASM","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ASM","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ASM","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ASM","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ASM","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ASM","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ASM","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"AND","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AND","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AND","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AND","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AND","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AND","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AND","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AND","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AND","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AND","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AND","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AND","other",0.004,"aquaculture","salmon","plant-dominant"
"AND","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AND","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AND","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AND","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AND","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AND","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AND","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"AGO","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AGO","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AGO","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AGO","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AGO","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AGO","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AGO","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AGO","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AGO","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AGO","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AGO","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AGO","other",0.004,"aquaculture","salmon","plant-dominant"
"AGO","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AGO","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AGO","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AGO","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AGO","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AGO","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AGO","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"AIA","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AIA","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AIA","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AIA","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AIA","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AIA","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AIA","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AIA","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AIA","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AIA","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AIA","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AIA","other",0.004,"aquaculture","salmon","plant-dominant"
"AIA","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AIA","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AIA","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AIA","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AIA","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AIA","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AIA","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ATG","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ATG","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ATG","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ATG","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ATG","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ATG","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ATG","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ATG","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ATG","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ATG","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ATG","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ATG","other",0.004,"aquaculture","salmon","plant-dominant"
"ATG","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ATG","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ATG","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ATG","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ATG","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ATG","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ATG","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ARG","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ARG","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ARG","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ARG","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ARG","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ARG","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ARG","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ARG","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ARG","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ARG","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ARG","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ARG","other",0.004,"aquaculture","salmon","plant-dominant"
"ARG","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ARG","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ARG","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ARG","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
