"iso3c","raw_name","prop_diet","production_system","species","diet"
"GUY","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"GUY","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"GUY","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"GUY","wheat",0.065,"aquaculture","salmon","plant-dominant"
"GUY","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"HTI","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"HTI","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"HTI","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"HTI","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"HTI","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"HTI","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"HTI","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"HTI","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"HTI","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"HTI","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"HTI","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"HTI","other",0.004,"aquaculture","salmon","plant-dominant"
"HTI","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"HTI","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"HTI","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"HTI","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"HTI","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"HTI","wheat",0.065,"aquaculture","salmon","plant-dominant"
"HTI","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"HND","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"HND","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"HND","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"HND","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"HND","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"HND","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"HND","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"HND","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"HND","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"HND","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"HND","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"HND","other",0.004,"aquaculture","salmon","plant-dominant"
"HND","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"HND","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"HND","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"HND","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"HND","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"HND","wheat",0.065,"aquaculture","salmon","plant-dominant"
"HND","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"HKG","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"HKG","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"HKG","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"HKG","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"HKG","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"HKG","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"HKG","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"HKG","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"HKG","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"HKG","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"HKG","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"HKG","other",0.004,"aquaculture","salmon","plant-dominant"
"HKG","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"HKG","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"HKG","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"HKG","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"HKG","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"HKG","wheat",0.065,"aquaculture","salmon","plant-dominant"
"HKG","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"HUN","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"HUN","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"HUN","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"HUN","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"HUN","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"HUN","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"HUN","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"HUN","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"HUN","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"HUN","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"HUN","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"HUN","other",0.004,"aquaculture","salmon","plant-dominant"
"HUN","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"HUN","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"HUN","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"HUN","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"HUN","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"HUN","wheat",0.065,"aquaculture","salmon","plant-dominant"
"HUN","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ISL","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ISL","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ISL","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ISL","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ISL","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ISL","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ISL","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ISL","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ISL","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ISL","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ISL","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ISL","other",0.004,"aquaculture","salmon","plant-dominant"
"ISL","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ISL","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ISL","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ISL","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ISL","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ISL","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ISL","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"IND","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"IND","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"IND","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"IND","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"IND","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"IND","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"IND","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"IND","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"IND","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"IND","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"IND","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"IND","other",0.004,"aquaculture","salmon","plant-dominant"
"IND","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"IND","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"IND","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"IND","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"IND","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"IND","wheat",0.065,"aquaculture","salmon","plant-dominant"
"IND","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"IDN","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"IDN","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"IDN","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"IDN","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"IDN","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"IDN","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"IDN","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"IDN","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"IDN","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"IDN","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"IDN","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"IDN","other",0.004,"aquaculture","salmon","plant-dominant"
"IDN","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"IDN","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"IDN","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"IDN","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"IDN","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"IDN","wheat",0.065,"aquaculture","salmon","plant-dominant"
"IDN","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"IRN","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"IRN","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"IRN","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"IRN","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"IRN","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"IRN","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"IRN","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"IRN","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"IRN","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"IRN","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"IRN","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"IRN","other",0.004,"aquaculture","salmon","plant-dominant"
"IRN","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"IRN","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"IRN","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"IRN","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"IRN","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"IRN","wheat",0.065,"aquaculture","salmon","plant-dominant"
"IRN","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"IRQ","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"IRQ","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"IRQ","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"IRQ","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"IRQ","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"IRQ","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"IRQ","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"IRQ","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"IRQ","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"IRQ","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"IRQ","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"IRQ","other",0.004,"aquaculture","salmon","plant-dominant"
"IRQ","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"IRQ","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"IRQ","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"IRQ","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"IRQ","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"IRQ","wheat",0.065,"aquaculture","salmon","plant-dominant"
"IRQ","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"IRL","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"IRL","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"IRL","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"IRL","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"IRL","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"IRL","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"IRL","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"IRL","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"IRL","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"IRL","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"IRL","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"IRL","other",0.004,"aquaculture","salmon","plant-dominant"
"IRL","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"IRL","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"IRL","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"IRL","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"IRL","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"IRL","wheat",0.065,"aquaculture","salmon","plant-dominant"
"IRL","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"IMN","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"IMN","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"IMN","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"IMN","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"IMN","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"IMN","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"IMN","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"IMN","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"IMN","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"IMN","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"IMN","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"IMN","other",0.004,"aquaculture","salmon","plant-dominant"
"IMN","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"IMN","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"IMN","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"IMN","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"IMN","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"IMN","wheat",0.065,"aquaculture","salmon","plant-dominant"
"IMN","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ISR","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ISR","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ISR","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ISR","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ISR","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ISR","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ISR","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ISR","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ISR","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ISR","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ISR","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ISR","other",0.004,"aquaculture","salmon","plant-dominant"
"ISR","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ISR","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ISR","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ISR","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ISR","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ISR","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ISR","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ITA","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ITA","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ITA","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ITA","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ITA","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ITA","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ITA","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ITA","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ITA","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ITA","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ITA","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ITA","other",0.004,"aquaculture","salmon","plant-dominant"
"ITA","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ITA","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ITA","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ITA","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ITA","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ITA","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ITA","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"JAM","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"JAM","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"JAM","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"JAM","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"JAM","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"JAM","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"JAM","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"JAM","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"JAM","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"JAM","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"JAM","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"JAM","other",0.004,"aquaculture","salmon","plant-dominant"
"JAM","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"JAM","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"JAM","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"JAM","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"JAM","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"JAM","wheat",0.065,"aquaculture","salmon","plant-dominant"
"JAM","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"JPN","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"JPN","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"JPN","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"JPN","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"JPN","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"JPN","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"JPN","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"JPN","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"JPN","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"JPN","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"JPN","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"JPN","other",0.004,"aquaculture","salmon","plant-dominant"
"JPN","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"JPN","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"JPN","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"JPN","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"JPN","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"JPN","wheat",0.065,"aquaculture","salmon","plant-dominant"
"JPN","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"JEY","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"JEY","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"JEY","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"JEY","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"JEY","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"JEY","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"JEY","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"JEY","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"JEY","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"JEY","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"JEY","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"JEY","other",0.004,"aquaculture","salmon","plant-dominant"
"JEY","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"JEY","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"JEY","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"JEY","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"JEY","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"JEY","wheat",0.065,"aquaculture","salmon","plant-dominant"
"JEY","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"JOR","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"JOR","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"JOR","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"JOR","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"JOR","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"JOR","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"JOR","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"JOR","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"JOR","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"JOR","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"JOR","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"JOR","other",0.004,"aquaculture","salmon","plant-dominant"
"JOR","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"JOR","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"JOR","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"JOR","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"JOR","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"JOR","wheat",0.065,"aquaculture","salmon","plant-dominant"
"JOR","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"KAZ","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"KAZ","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"KAZ","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"KAZ","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"KAZ","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"KAZ","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"KAZ","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"KAZ","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"KAZ","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"KAZ","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"KAZ","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"KAZ","other",0.004,"aquaculture","salmon","plant-dominant"
"KAZ","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"KAZ","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"KAZ","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"KAZ","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"KAZ","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"KAZ","wheat",0.065,"aquaculture","salmon","plant-dominant"
"KAZ","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"KEN","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"KEN","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"KEN","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"KEN","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"KEN","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"KEN","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"KEN","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"KEN","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"KEN","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"KEN","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"KEN","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"KEN","other",0.004,"aquaculture","salmon","plant-dominant"
"KEN","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"KEN","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"KEN","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"KEN","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"KEN","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"KEN","wheat",0.065,"aquaculture","salmon","plant-dominant"
"KEN","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"KIR","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"KIR","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"KIR","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"KIR","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"KIR","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"KIR","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"KIR","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"KIR","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"KIR","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"KIR","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"KIR","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"KIR","other",0.004,"aquaculture","salmon","plant-dominant"
"KIR","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"KIR","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"KIR","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"KIR","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"KIR","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"KIR","wheat",0.065,"aquaculture","salmon","plant-dominant"
"KIR","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"XKO","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"XKO","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"XKO","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"XKO","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"XKO","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"XKO","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"XKO","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"XKO","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"XKO","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"XKO","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"XKO","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"XKO","other",0.004,"aquaculture","salmon","plant-dominant"
"XKO","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"XKO","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"XKO","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"XKO","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
