BINOMIAL,AOH_name,excluded,ORDER,Red_List_Category_2019,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Eumops dabbenei,Eumops_dabbenei,no,CHIROPTERA,LC,0.686888056047794,0,0,No
Eumops hansae,Eumops_hansae,no,CHIROPTERA,LC,0.671338179096263,0,0,No
Eumops patagonicus,Eumops_patagonicus,no,CHIROPTERA,LC,0.45224529654024,0,0,No
Eumops perotis,Eumops_perotis,no,CHIROPTERA,LC,0.581881255446747,0,0,No
Eumops trumbulli,Eumops_trumbulli,no,CHIROPTERA,LC,0.557653601268971,0,0,No
Eumops underwoodi,Eumops_underwoodi,no,CHIROPTERA,LC,0.493136619827807,0,0,No
Glossophaga commissarisi,Glossophaga_commissarisi,no,CHIROPTERA,LC,0.781338757591057,0,0,No
Glossophaga leachii,Glossophaga_leachii,no,CHIROPTERA,LC,0.564557474006744,0,0,No
Glossophaga morenoi,Glossophaga_morenoi,no,CHIROPTERA,LC,0.405393512031384,0,0,No
Glossophaga soricina,Glossophaga_soricina,no,CHIROPTERA,LC,0.745133018257353,1,17,Yes
Glyphonycteris behnii,Glyphonycteris_behnii,no,CHIROPTERA,DD,0.744498973253053,0,0,No
Histiotus humboldti,Histiotus_humboldti,no,CHIROPTERA,DD,0.191993891300655,0,0,No
Idionycteris phyllotis,Idionycteris_phyllotis,no,CHIROPTERA,LC,0.79559128466391,0,0,No
Lasiurus cinereus,Lasiurus_cinereus,no,CHIROPTERA,LC,0.446279781580331,0.884615384615385,26,Yes
Lasiurus degelidus,Lasiurus_degelidus,no,CHIROPTERA,VU,0.518941884369694,0,0,No
Lasiurus ebenus,Lasiurus_ebenus,no,CHIROPTERA,DD,0.937679629258919,0,0,No
Lasiurus insularis,Lasiurus_insularis,no,CHIROPTERA,VU,0.620499718308526,0,0,No
Lasiurus intermedius,Lasiurus_intermedius,no,CHIROPTERA,LC,0.601946121407283,0,0,No
Lasiurus seminolus,Lasiurus_seminolus,no,CHIROPTERA,LC,0.706822828569274,0,0,No
Lasiurus varius,Lasiurus_varius,no,CHIROPTERA,LC,0.29786988922409,0,0,No
Lasiurus xanthinus,Lasiurus_xanthinus,no,CHIROPTERA,LC,0.817559282081052,0,0,No
Leptonycteris curasoae,Leptonycteris_curasoae,no,CHIROPTERA,VU,0.388160861310559,0,0,No
Leptonycteris nivalis,Leptonycteris_nivalis,no,CHIROPTERA,EN,0.655241530888771,0,0,No
Leptonycteris yerbabuenae,Leptonycteris_yerbabuenae,no,CHIROPTERA,NT,0.433577014773019,0,0,No
Lionycteris spurrelli,Lionycteris_spurrelli,no,CHIROPTERA,LC,0.810385246518076,0,0,No
Lonchophylla orcesi,Lonchophylla_orcesi,no,CHIROPTERA,DD,0.994938101266559,0,0,No
Lonchophylla chocoana,Lonchophylla_chocoana,no,CHIROPTERA,DD,0.998863502697676,0,0,No
Lonchophylla concava,Lonchophylla_concava,no,CHIROPTERA,LC,0.493067052089584,0,0,No
Lonchophylla dekeyseri,Lonchophylla_dekeyseri,no,CHIROPTERA,EN,0.513474282719266,0,0,No
Lonchophylla robusta,Lonchophylla_robusta,no,CHIROPTERA,LC,0.436311041906111,0,0,No
Lonchophylla thomasi,Lonchophylla_thomasi,no,CHIROPTERA,LC,0.76869637563424,0,0,No
Lonchorhina aurita,Lonchorhina_aurita,no,CHIROPTERA,LC,0.726184651340044,0,0,No
Lonchorhina fernandezi,Lonchorhina_fernandezi,no,CHIROPTERA,EN,0.00145452151791919,0,0,No
Lonchorhina inusitata,Lonchorhina_inusitata,no,CHIROPTERA,DD,0.923784611915301,0,0,No
Lonchorhina marinkellei,Lonchorhina_marinkellei,no,CHIROPTERA,VU,0.000156421781134726,0,0,No
Lonchorhina orinocensis,Lonchorhina_orinocensis,no,CHIROPTERA,VU,0.523289758302783,0,0,No
Lophostoma brasiliense,Lophostoma_brasiliense,no,CHIROPTERA,LC,0.739987658314382,0,0,No
Lophostoma evotis,Lophostoma_evotis,no,CHIROPTERA,LC,0.321706165411094,0,0,No
Lophostoma schulzi,Lophostoma_schulzi,no,CHIROPTERA,LC,0.963139453105763,0,0,No
Macrophyllum macrophyllum,Macrophyllum_macrophyllum,no,CHIROPTERA,LC,0.678592689035713,0,0,No
Mesophylla macconnelli,Mesophylla_macconnelli,no,CHIROPTERA,LC,0.755869182385791,0,0,No
Micronycteris megalotis,Micronycteris_megalotis,no,CHIROPTERA,LC,0.693498526023435,0,0,No
Micronycteris minuta,Micronycteris_minuta,no,CHIROPTERA,LC,0.677952747537187,0,0,No
Micronycteris schmidtorum,Micronycteris_schmidtorum,no,CHIROPTERA,LC,0.759973498559982,0,0,No
Mimon cozumelae,Mimon_cozumelae,no,CHIROPTERA,LC,0.704175703315549,0,0,No
Molossops aequatorianus,Molossops_aequatorianus,no,CHIROPTERA,EN,0.302939544491292,0,0,No
Molossops mattogrossensis,Molossops_mattogrossensis,no,CHIROPTERA,LC,0.262636555383613,0,0,No
Molossops temminckii,Molossops_temminckii,no,CHIROPTERA,LC,0.633090400167856,0,0,No
Molossus molossus,Molossus_molossus,no,CHIROPTERA,LC,0.647537727122111,0,0,No
Molossus rufus,Molossus_rufus,no,CHIROPTERA,LC,0.75498689298033,0,0,No
Molossus sinaloae,Molossus_sinaloae,no,CHIROPTERA,LC,0.803573637571856,0,0,No
Mormopterus kalinowskii,Mormopterus_kalinowskii,no,CHIROPTERA,LC,0.367919713853526,0,0,No
Mormopterus minutus,Mormopterus_minutus,no,CHIROPTERA,VU,0.614132921045873,0,0,No
