BINOMIAL,AOH_name,excluded,ORDER,Red_List_Category_2019,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Calomyscus mystax,Calomyscus_mystax,no,RODENTIA,LC,0.621830427474959,0,0,No
Dryomys niethammeri,Dryomys_niethammeri,no,RODENTIA,VU,0.379257983854056,0,0,No
Gerbillus famulus,Gerbillus_famulus,no,RODENTIA,LC,0.884855761303281,0,0,No
Gerbillus mesopotamiae,Gerbillus_mesopotamiae,no,RODENTIA,LC,0.508966151618154,0,0,No
Gerbillus poecilops,Gerbillus_poecilops,no,RODENTIA,LC,0.93223635797661,0,0,No
Meriones arimalius,Meriones_arimalius,no,RODENTIA,LC,0.998339754312468,0,0,No
Meriones rex,Meriones_rex,no,RODENTIA,LC,0.428904377224839,0,0,No
Microtus schidlovskii,Microtus_schidlovskii,no,RODENTIA,LC,0.101829696277729,0,0,No
Myodes regulus,Myodes_regulus,no,RODENTIA,LC,0.947109730799331,0,0,No
Myomyscus yemeni,Myomyscus_yemeni,no,RODENTIA,DD,0.822137555351065,0,0,No
Nesokia bunnii,Nesokia_bunnii,no,RODENTIA,EN,0.59931404618952,0,0,No
Spalax uralensis,Spalax_uralensis,no,RODENTIA,NT,0.771820385006861,0,0,No
Babyrousa babyrussa,Babyrousa_babyrussa,no,CETARTIODACTYLA,VU,0.958160774489574,0,0,No
Catagonus wagneri,Catagonus_wagneri,no,CETARTIODACTYLA,EN,0.344968886084602,0,0,No
Pecari tajacu,Pecari_tajacu,no,CETARTIODACTYLA,LC,0.97847684487112,0.995967741935484,248,Yes
Porcula salvania,Porcula_salvania,no,CETARTIODACTYLA,EN,0.17224088147268,0,0,No
Sus cebifrons,Sus_cebifrons,no,CETARTIODACTYLA,CR,0.981117720449777,0,0,No
Sus scrofa,Sus_scrofa,no,CETARTIODACTYLA,LC,0.987613692233023,0,0,No
Sus verrucosus,Sus_verrucosus,no,CETARTIODACTYLA,EN,0.895122998082053,0,0,No
Acerodon jubatus,Acerodon_jubatus,no,CHIROPTERA,EN,0.738630928584675,0,0,No
Acerodon leucotis,Acerodon_leucotis,no,CHIROPTERA,VU,0.911052171675662,0,0,No
Dobsonia chapmani,Dobsonia_chapmani,no,CHIROPTERA,CR,0.658223981345833,0,0,No
Eonycteris robusta,Eonycteris_robusta,no,CHIROPTERA,VU,0.709692161117693,0,0,No
Haplonycteris fischeri,Haplonycteris_fischeri,no,CHIROPTERA,LC,0.509439625025714,0,0,No
Harpyionycteris whiteheadi,Harpyionycteris_whiteheadi,no,CHIROPTERA,LC,0.812352853053474,0,0,No
Nyctimene rabori,Nyctimene_rabori,no,CHIROPTERA,EN,0.651393858948351,0,0,No
Otopteropus cartilagonodus,Otopteropus_cartilagonodus,no,CHIROPTERA,LC,0.438880241539651,0,0,No
Ptenochirus jagori,Ptenochirus_jagori,no,CHIROPTERA,LC,0.784328168562464,0,0,No
Ptenochirus minor,Ptenochirus_minor,no,CHIROPTERA,LC,0.838187537961646,0,0,No
Pteropus leucopterus,Pteropus_leucopterus,no,CHIROPTERA,LC,0.846068990086273,0,0,No
Pteropus pumilus,Pteropus_pumilus,no,CHIROPTERA,NT,0.719733002352069,0,0,No
Pteropus speciosus,Pteropus_speciosus,no,CHIROPTERA,DD,0.915279089351811,0,0,No
Rhinolophus rufus,Rhinolophus_rufus,no,CHIROPTERA,NT,0.515636717105716,0,0,No
Ictonyx striatus,Ictonyx_striatus,no,CARNIVORA,LC,0.883503797378304,0,0,No
Martes melampus,Martes_melampus,no,CARNIVORA,LC,0.91129936622369,0,0,No
Hipposideros ater,Hipposideros_ater,no,CHIROPTERA,LC,0.797998944990279,0,0,No
Peromyscus keeni,Peromyscus_keeni,no,RODENTIA,LC,0.887624465157416,0,0,No
Poliocitellus franklinii,Poliocitellus_franklinii,no,RODENTIA,LC,0.851284388809686,0.96875,32,Yes
Callospermophilus lateralis,Callospermophilus_lateralis,no,RODENTIA,LC,0.517173026603488,0.954233409610984,437,Yes
Neotamias umbrinus,Neotamias_umbrinus,no,RODENTIA,LC,0.62626430873445,0,0,No
Tamiasciurus hudsonicus,Tamiasciurus_hudsonicus,no,RODENTIA,LC,0.548301026230572,0.982768523836875,1741,Yes
Thomomys bulbivorus,Thomomys_bulbivorus,no,RODENTIA,LC,0.516622630563293,0,0,No
Capromys pilorides,Capromys_pilorides,no,RODENTIA,LC,0.616183627465643,0,0,No
Mustela eversmanii,Mustela_eversmanii,no,CARNIVORA,LC,0.723019094997182,0,0,No
Mustela nigripes,Mustela_nigripes,no,CARNIVORA,EN,0.997733596616631,0,0,No
Mustela nudipes,Mustela_nudipes,no,CARNIVORA,LC,0.928304694531137,0,0,No
Mustela putorius,Mustela_putorius,no,CARNIVORA,LC,0.983920624525784,1,87,Yes
Poecilogale albinucha,Poecilogale_albinucha,no,CARNIVORA,LC,0.95360033400393,0,0,No
Taxidea taxus,Taxidea_taxus,no,CARNIVORA,LC,0.96600221714241,1,163,Yes
Alouatta arctoidea,Alouatta_arctoidea,no,PRIMATES,LC,0.379878521955908,0,0,No
Alouatta nigerrima,Alouatta_nigerrima,no,PRIMATES,LC,0.943273730544982,0,0,No
Aotus griseimembra,Aotus_griseimembra,no,PRIMATES,VU,0.606481373024904,0,0,No
Aotus jorgehernandezi,Aotus_jorgehernandezi,no,PRIMATES,DD,0.995706539495992,0,0,No
Aotus trivirgatus,Aotus_trivirgatus,no,PRIMATES,LC,0.906484979235722,0,0,No
Ateles marginatus,Ateles_marginatus,no,PRIMATES,EN,0.884654039834209,0,0,No
Ateles paniscus,Ateles_paniscus,no,PRIMATES,VU,0.927481267147211,0,0,No
Plecturocebus cinerascens,Plecturocebus_cinerascens,no,PRIMATES,LC,0.941929379925339,0,0,No
Plecturocebus cupreus,Plecturocebus_cupreus,no,PRIMATES,LC,0.986328113370546,0,0,No
Cheracebus lugens,Cheracebus_lugens,no,PRIMATES,LC,0.880884602260071,0,0,No
Callithrix aurita,Callithrix_aurita,no,PRIMATES,EN,0.593789477661163,0,0,No
Callithrix geoffroyi,Callithrix_geoffroyi,no,PRIMATES,LC,0.259278726189249,0,0,No
Callithrix jacchus,Callithrix_jacchus,no,PRIMATES,LC,0.761766455924957,0.933333333333333,15,Yes
Callithrix kuhlii,Callithrix_kuhlii,no,PRIMATES,VU,0.497100816701974,0,0,No
Callithrix penicillata,Callithrix_penicillata,no,PRIMATES,LC,0.554692465949122,0.935483870967742,31,Yes
Sapajus cay,Sapajus_cay,no,PRIMATES,LC,0.622630466562246,0,0,No
Sapajus libidinosus,Sapajus_libidinosus,no,PRIMATES,NT,0.660676993024763,0,0,No
Cebus brunneus,Cebus_brunneus,no,PRIMATES,EN,0.578270195532685,0,0,No
Sapajus robustus,Sapajus_robustus,no,PRIMATES,EN,0.469630416453796,0,0,No
Leontopithecus rosalia,Leontopithecus_rosalia,no,PRIMATES,EN,0.415421131030165,0,0,No
Mico acariensis,Mico_acariensis,no,PRIMATES,LC,0.989809493464421,0,0,No
Mico argentatus,Mico_argentatus,no,PRIMATES,LC,0.896159576152122,0,0,No
Mico chrysoleucos,Mico_chrysoleucos,no,PRIMATES,LC,0.913084931933826,0,0,No
Mico emiliae,Mico_emiliae,no,PRIMATES,LC,0.796168749369559,0,0,No
Mico intermedius,Mico_intermedius,no,PRIMATES,LC,0.974793285327091,0,0,No
Mico marcai,Mico_marcai,no,PRIMATES,DD,0.934082653463667,0,0,No
Mico nigriceps,Mico_nigriceps,no,PRIMATES,NT,0.918342842959911,0,0,No
Mico saterei,Mico_saterei,no,PRIMATES,LC,0.971322547936141,0,0,No
Mico rondoni,Mico_rondoni,no,PRIMATES,VU,0.708241473897206,0,0,No
Saguinus bicolor,Saguinus_bicolor,no,PRIMATES,CR,0.862499277539313,0,0,No
Saguinus inustus,Saguinus_inustus,no,PRIMATES,LC,0.984862441650393,0,0,No
Leontocebus weddelli,Leontocebus_weddelli,no,PRIMATES,LC,0.936826328116877,0,0,No
Saguinus midas,Saguinus_midas,no,PRIMATES,LC,0.93700407790498,0,0,No
Saimiri ustus,Saimiri_ustus,no,PRIMATES,NT,0.854117653534876,0,0,No
Coelops frithii,Coelops_frithii,no,CHIROPTERA,NT,0.467135315159291,0,0,No
Cynopterus brachyotis,Cynopterus_brachyotis,no,CHIROPTERA,LC,0.675342668880364,0,0,No
Cynopterus sphinx,Cynopterus_sphinx,no,CHIROPTERA,LC,0.260500210595231,0,0,No
Eonycteris spelaea,Eonycteris_spelaea,no,CHIROPTERA,LC,0.648569521400004,0,0,No
Eptesicus pachyotis,Eptesicus_pachyotis,no,CHIROPTERA,LC,0.209654624301085,0,0,No
Eptesicus tatei,Eptesicus_tatei,no,CHIROPTERA,DD,0.989832010216008,0,0,No
Hesperoptenus tickelli,Hesperoptenus_tickelli,no,CHIROPTERA,LC,0.511986751160061,0,0,No
Hipposideros diadema,Hipposideros_diadema,no,CHIROPTERA,LC,0.783626818678795,0,0,No
Hipposideros larvatus,Hipposideros_larvatus,no,CHIROPTERA,LC,0.975179803351376,0,0,No
Ia io,Ia_io,no,CHIROPTERA,NT,0.605479992049618,0,0,No
Kerivoula picta,Kerivoula_picta,no,CHIROPTERA,NT,0.664394775972116,0,0,No
Latidens salimalii,Latidens_salimalii,no,CHIROPTERA,EN,0.160884552130405,0,0,No
Macroglossus sobrinus,Macroglossus_sobrinus,no,CHIROPTERA,LC,0.7250428147537,0,0,No
Megaerops niphanae,Megaerops_niphanae,no,CHIROPTERA,LC,0.553369418620778,0,0,No
Miniopterus pusillus,Miniopterus_pusillus,no,CHIROPTERA,LC,0.936071823534583,0,0,No
Murina aurata,Murina_aurata,no,CHIROPTERA,DD,0.201280538815867,0,0,No
Myotis csorbai,Myotis_csorbai,no,CHIROPTERA,DD,0.112859910612354,0,0,No
Myotis longipes,Myotis_longipes,no,CHIROPTERA,DD,0.225809362608821,0,0,No
Myotis siligorensis,Myotis_siligorensis,no,CHIROPTERA,LC,0.2640820772033,0,0,No
Pipistrellus coromandra,Pipistrellus_coromandra,no,CHIROPTERA,LC,0.437488481521129,0,0,No
Pipistrellus paterculus,Pipistrellus_paterculus,no,CHIROPTERA,LC,0.775050562735284,0,0,No
Pipistrellus tenuis,Pipistrellus_tenuis,no,CHIROPTERA,LC,0.770368687571639,0,0,No
Pteropus giganteus,Pteropus_giganteus,no,CHIROPTERA,LC,0.264834235555613,0.923076923076923,39,Yes
Pteropus hypomelanus,Pteropus_hypomelanus,no,CHIROPTERA,NT,0.713891096102716,0,0,No
Pteropus melanotus,Pteropus_melanotus,no,CHIROPTERA,VU,0.939899672889034,0,0,No
Pteropus vampyrus,Pteropus_vampyrus,no,CHIROPTERA,NT,0.83354192341095,0,0,No
Rhinolophus affinis,Rhinolophus_affinis,no,CHIROPTERA,LC,0.388903924187374,0,0,No
Rhinolophus beddomei,Rhinolophus_beddomei,no,CHIROPTERA,LC,0.652465177573254,0,0,No
Rhinolophus lepidus,Rhinolophus_lepidus,no,CHIROPTERA,LC,0.383300944347686,0,0,No
Rhinolophus pearsonii,Rhinolophus_pearsonii,no,CHIROPTERA,LC,0.424839748927481,0,0,No
Rhinolophus sinicus,Rhinolophus_sinicus,no,CHIROPTERA,LC,0.394336777537779,0,0,No
Rhinolophus subbadius,Rhinolophus_subbadius,no,CHIROPTERA,LC,0.414821631120742,0,0,No
Rhinolophus trifoliatus,Rhinolophus_trifoliatus,no,CHIROPTERA,NT,0.913539938641562,0,0,No
Rhinolophus yunanensis,Rhinolophus_yunanensis,no,CHIROPTERA,LC,0.672691589037371,0,0,No
Rousettus leschenaultii,Rousettus_leschenaultii,no,CHIROPTERA,LC,0.411842594722667,0,0,No
Scotomanes ornatus,Scotomanes_ornatus,no,CHIROPTERA,LC,0.698792407206325,0,0,No
Sphaerias blanfordi,Sphaerias_blanfordi,no,CHIROPTERA,LC,0.608188744867811,0,0,No
Taphozous theobaldi,Taphozous_theobaldi,no,CHIROPTERA,LC,0.354662599526103,0,0,No
Atelerix albiventris,Atelerix_albiventris,no,EULIPOTYPHLA,LC,0.878687967030707,0,0,No
Atelerix frontalis,Atelerix_frontalis,no,EULIPOTYPHLA,LC,0.985926118123406,0,0,No
Atelerix sclateri,Atelerix_sclateri,no,EULIPOTYPHLA,LC,0.584591172128422,0,0,No
Congosorex phillipsorum,Congosorex_phillipsorum,no,EULIPOTYPHLA,CR,0.849521899453717,0,0,No
Congosorex polli,Congosorex_polli,no,EULIPOTYPHLA,DD,0.491611397171567,0,0,No
Congosorex verheyeni,Congosorex_verheyeni,no,EULIPOTYPHLA,LC,0.980711794890239,0,0,No
Crocidura allex,Crocidura_allex,no,EULIPOTYPHLA,LC,0.247181435257827,0,0,No
Crocidura ansellorum,Crocidura_ansellorum,no,EULIPOTYPHLA,EN,0.723754957825261,0,0,No
Crocidura attila,Crocidura_attila,no,EULIPOTYPHLA,LC,0.786934815132803,0,0,No
Crocidura baileyi,Crocidura_baileyi,no,EULIPOTYPHLA,LC,0.247964095235914,0,0,No
Crocidura batesi,Crocidura_batesi,no,EULIPOTYPHLA,LC,0.970392512147825,0,0,No
Crocidura bottegoides,Crocidura_bottegoides,no,EULIPOTYPHLA,EN,0.671341047695062,0,0,No
Crocidura buettikoferi,Crocidura_buettikoferi,no,EULIPOTYPHLA,LC,0.833132961265887,0,0,No
Crocidura caliginea,Crocidura_caliginea,no,EULIPOTYPHLA,LC,0.991671823804106,0,0,No
Crocidura cinderella,Crocidura_cinderella,no,EULIPOTYPHLA,LC,0.270917759905533,0,0,No
Crocidura congobelgica,Crocidura_congobelgica,no,EULIPOTYPHLA,LC,0.995582394718542,0,0,No
Crocidura crenata,Crocidura_crenata,no,EULIPOTYPHLA,LC,0.85792117272074,0,0,No
Crocidura crossei,Crocidura_crossei,no,EULIPOTYPHLA,LC,0.702836784387498,0,0,No
Crocidura cyanea,Crocidura_cyanea,no,EULIPOTYPHLA,LC,0.607054461853733,0,0,No
Crocidura denti,Crocidura_denti,no,EULIPOTYPHLA,LC,0.58007649005927,0,0,No
Crocidura desperata,Crocidura_desperata,no,EULIPOTYPHLA,VU,0.357338835101547,0,0,No
Crocidura dolichura,Crocidura_dolichura,no,EULIPOTYPHLA,LC,0.880553135680647,0,0,No
Crocidura eisentrauti,Crocidura_eisentrauti,no,EULIPOTYPHLA,VU,0.485448351902469,0,0,No
Crocidura elgonius,Crocidura_elgonius,no,EULIPOTYPHLA,LC,0.247063083158436,0,0,No
Crocidura fischeri,Crocidura_fischeri,no,EULIPOTYPHLA,DD,0.272450375624972,0,0,No
Crocidura flavescens,Crocidura_flavescens,no,EULIPOTYPHLA,LC,0.769996190651824,0,0,No
Crocidura foxi,Crocidura_foxi,no,EULIPOTYPHLA,LC,0.722229225119455,0,0,No
Crocidura fulvastra,Crocidura_fulvastra,no,EULIPOTYPHLA,LC,0.349360368659323,0,0,No
Crocidura fuscomurina,Crocidura_fuscomurina,no,EULIPOTYPHLA,LC,0.869741968770254,0,0,No
Crocidura grassei,Crocidura_grassei,no,EULIPOTYPHLA,LC,0.988167804874137,0,0,No
Crocidura greenwoodi,Crocidura_greenwoodi,no,EULIPOTYPHLA,LC,0.957435293011392,0,0,No
Crocidura harenna,Crocidura_harenna,no,EULIPOTYPHLA,CR,0.335078331506845,0,0,No
Crocidura hirta,Crocidura_hirta,no,EULIPOTYPHLA,LC,0.810113928715711,0,0,No
Crocidura jacksoni,Crocidura_jacksoni,no,EULIPOTYPHLA,LC,0.206901267106516,0,0,No
Crocidura kivuana,Crocidura_kivuana,no,EULIPOTYPHLA,NT,0.796583325249383,0,0,No
Crocidura lamottei,Crocidura_lamottei,no,EULIPOTYPHLA,LC,0.718794261265379,0,0,No
Crocidura lanosa,Crocidura_lanosa,no,EULIPOTYPHLA,VU,0.500554476528014,0,0,No
Crocidura latona,Crocidura_latona,no,EULIPOTYPHLA,LC,0.993227050392949,0,0,No
Crocidura littoralis,Crocidura_littoralis,no,EULIPOTYPHLA,LC,0.726136445788752,0,0,No
Crocidura longipes,Crocidura_longipes,no,EULIPOTYPHLA,DD,0.605873928595613,0,0,No
Crocidura lucina,Crocidura_lucina,no,EULIPOTYPHLA,NT,0.326207181454426,0,0,No
Crocidura ludia,Crocidura_ludia,no,EULIPOTYPHLA,LC,0.949349942412563,0,0,No
Crocidura lusitania,Crocidura_lusitania,no,EULIPOTYPHLA,LC,0.615602368513129,0,0,No
Crocidura macarthuri,Crocidura_macarthuri,no,EULIPOTYPHLA,LC,0.838373051884982,0,0,No
Crocidura macmillani,Crocidura_macmillani,no,EULIPOTYPHLA,NT,0.332428219999531,0,0,No
Crocidura manengubae,Crocidura_manengubae,no,EULIPOTYPHLA,VU,0.31669805865429,0,0,No
Crocidura muricauda,Crocidura_muricauda,no,EULIPOTYPHLA,LC,0.935414450102608,0,0,No
Crocidura nana,Crocidura_nana,no,EULIPOTYPHLA,DD,0.260094273230934,0,0,No
Crocidura nanilla,Crocidura_nanilla,no,EULIPOTYPHLA,LC,0.503579432637161,0,0,No
Crocidura nigeriae,Crocidura_nigeriae,no,EULIPOTYPHLA,LC,0.736077368029559,0,0,No
Crocidura nigrofusca,Crocidura_nigrofusca,no,EULIPOTYPHLA,LC,0.423361246347007,0,0,No
Crocidura nimbae,Crocidura_nimbae,no,EULIPOTYPHLA,NT,0.980375622973811,0,0,No
Crocidura pasha,Crocidura_pasha,no,EULIPOTYPHLA,LC,0.12004202905256,0,0,No
Crocidura phaeura,Crocidura_phaeura,no,EULIPOTYPHLA,EN,0.546314296725092,0,0,No
Crocidura picea,Crocidura_picea,no,EULIPOTYPHLA,EN,0.563513479295301,0,0,No
Crocidura planiceps,Crocidura_planiceps,no,EULIPOTYPHLA,DD,0.616181000110318,0,0,No
Crocidura poensis,Crocidura_poensis,no,EULIPOTYPHLA,LC,0.73325494608282,0,0,No
Crocidura raineyi,Crocidura_raineyi,no,EULIPOTYPHLA,DD,0.682579247647562,0,0,No
Crocidura roosevelti,Crocidura_roosevelti,no,EULIPOTYPHLA,LC,0.299121638224961,0,0,No
Crocidura selina,Crocidura_selina,no,EULIPOTYPHLA,DD,0.80276114829904,0,0,No
Crocidura silacea,Crocidura_silacea,no,EULIPOTYPHLA,LC,0.926813092994988,0,0,No
Crocidura smithii,Crocidura_smithii,no,EULIPOTYPHLA,LC,0.696254927570566,0,0,No
Crocidura stenocephala,Crocidura_stenocephala,no,EULIPOTYPHLA,EN,0.401446735543274,0,0,No
Crocidura telfordi,Crocidura_telfordi,no,EULIPOTYPHLA,VU,0.401292935782571,0,0,No
Crocidura thomensis,Crocidura_thomensis,no,EULIPOTYPHLA,EN,0.819452907109972,0,0,No
Crocidura turba,Crocidura_turba,no,EULIPOTYPHLA,LC,0.579362949679279,0,0,No
Crocidura yankariensis,Crocidura_yankariensis,no,EULIPOTYPHLA,LC,0.579262549522216,0,0,No
Myosorex babaulti,Myosorex_babaulti,no,EULIPOTYPHLA,LC,0.448706579091999,0,0,No
Myosorex blarina,Myosorex_blarina,no,EULIPOTYPHLA,EN,0.640105117918654,0,0,No
Myosorex geata,Myosorex_geata,no,EULIPOTYPHLA,EN,0.338666309648156,0,0,No
Myosorex kihaulei,Myosorex_kihaulei,no,EULIPOTYPHLA,EN,0.354775902889639,0,0,No
Myosorex longicaudatus,Myosorex_longicaudatus,no,EULIPOTYPHLA,EN,0.20599641511428,0,0,No
Myosorex okuensis,Myosorex_okuensis,no,EULIPOTYPHLA,VU,0.201507301959368,0,0,No
Myosorex rumpii,Myosorex_rumpii,no,EULIPOTYPHLA,EN,0.998907871260213,0,0,No
Myosorex schalleri,Myosorex_schalleri,no,EULIPOTYPHLA,DD,0.999877660894724,0,0,No
Myosorex sclateri,Myosorex_sclateri,no,EULIPOTYPHLA,VU,0.756991794735837,0,0,No
Myosorex zinki,Myosorex_zinki,no,EULIPOTYPHLA,LC,0.684793477375505,0,0,No
Paracrocidura graueri,Paracrocidura_graueri,no,EULIPOTYPHLA,DD,0.649522026569459,0,0,No
Paracrocidura schoutedeni,Paracrocidura_schoutedeni,no,EULIPOTYPHLA,LC,0.943508614457409,0,0,No
Paraechinus aethiopicus,Paraechinus_aethiopicus,no,EULIPOTYPHLA,LC,0.993323274535717,0,0,No
Ruwenzorisorex suncoides,Ruwenzorisorex_suncoides,no,EULIPOTYPHLA,VU,0.677572099193481,0,0,No
Suncus infinitesimus,Suncus_infinitesimus,no,EULIPOTYPHLA,LC,0.918629487680678,0,0,No
Suncus lixus,Suncus_lixus,no,EULIPOTYPHLA,LC,0.971486473926392,0,0,No
Suncus megalura,Suncus_megalura,no,EULIPOTYPHLA,LC,0.0252028595105531,0,0,No
Suncus murinus,Suncus_murinus,no,EULIPOTYPHLA,LC,0.999475862754541,1,11,Yes
Suncus remyi,Suncus_remyi,no,EULIPOTYPHLA,LC,0.996226130694132,0,0,No
Surdisorex norae,Surdisorex_norae,no,EULIPOTYPHLA,LC,0.031656914777054,0,0,No
Surdisorex polulus,Surdisorex_polulus,no,EULIPOTYPHLA,DD,0.00288428189777012,0,0,No
Sylvisorex camerunensis,Sylvisorex_camerunensis,no,EULIPOTYPHLA,VU,0.815970118540417,0,0,No
Sylvisorex granti,Sylvisorex_granti,no,EULIPOTYPHLA,LC,0.444855083851647,0,0,No
Sylvisorex isabellae,Sylvisorex_isabellae,no,EULIPOTYPHLA,VU,0.997600166677935,0,0,No
Sylvisorex johnstoni,Sylvisorex_johnstoni,no,EULIPOTYPHLA,LC,0.0801722743106296,0,0,No
Sylvisorex morio,Sylvisorex_morio,no,EULIPOTYPHLA,EN,0.509380950972301,0,0,No
Sylvisorex oriundus,Sylvisorex_oriundus,no,EULIPOTYPHLA,DD,0.985694050792534,0,0,No
Sylvisorex pluvialis,Sylvisorex_pluvialis,no,EULIPOTYPHLA,DD,0.999977258691389,0,0,No
Aplodontia rufa,Aplodontia_rufa,no,RODENTIA,LC,0.931396907930126,0,0,No
Arborimus albipes,Arborimus_albipes,no,RODENTIA,LC,0.857440056149386,0,0,No
Cynomys gunnisoni,Cynomys_gunnisoni,no,RODENTIA,LC,0.319479613598549,0.466666666666667,15,Yes
Cynomys leucurus,Cynomys_leucurus,no,RODENTIA,LC,0.785338023927098,1,11,Yes
Cynomys ludovicianus,Cynomys_ludovicianus,no,RODENTIA,LC,0.937280142058962,1,238,Yes
Dicrostonyx groenlandicus,Dicrostonyx_groenlandicus,no,RODENTIA,LC,0.325776593203908,0,0,No
Dicrostonyx hudsonius,Dicrostonyx_hudsonius,no,RODENTIA,LC,0.423311007143495,0,0,No
Dicrostonyx nelsoni,Dicrostonyx_nelsoni,no,RODENTIA,LC,0.417984086740244,0,0,No
Dicrostonyx nunatakensis,Dicrostonyx_nunatakensis,no,RODENTIA,LC,0.257108851517508,0,0,No
Dicrostonyx richardsoni,Dicrostonyx_richardsoni,no,RODENTIA,LC,0.810359760117362,0,0,No
Dipodomys agilis,Dipodomys_agilis,no,RODENTIA,LC,0.742214912718369,0,0,No
Dipodomys californicus,Dipodomys_californicus,no,RODENTIA,LC,0.976945035722976,0,0,No
Dipodomys compactus,Dipodomys_compactus,no,RODENTIA,LC,0.933204195488125,0,0,No
Dipodomys heermanni,Dipodomys_heermanni,no,RODENTIA,LC,0.955890987380861,0,0,No
Dipodomys microps,Dipodomys_microps,no,RODENTIA,LC,0.57613134617052,0,0,No
Dipodomys panamintinus,Dipodomys_panamintinus,no,RODENTIA,LC,0.645205979175253,0,0,No
Dipodomys venustus,Dipodomys_venustus,no,RODENTIA,LC,0.670552714424901,0,0,No
Geomys attwateri,Geomys_attwateri,no,RODENTIA,LC,0.552846774630331,0,0,No
Geomys breviceps,Geomys_breviceps,no,RODENTIA,LC,0.264050645782285,0.583333333333333,12,Yes
Geomys bursarius,Geomys_bursarius,no,RODENTIA,LC,0.903577285424936,1,56,Yes
Geomys knoxjonesi,Geomys_knoxjonesi,no,RODENTIA,LC,0.499998776810042,0,0,No
Geomys pinetis,Geomys_pinetis,no,RODENTIA,LC,0.939890936788828,0,0,No
Geomys texensis,Geomys_texensis,no,RODENTIA,LC,0.352385983568424,0,0,No
Glaucomys volans,Glaucomys_volans,no,RODENTIA,LC,0.604394101803642,0.982608695652174,115,Yes
Lemmiscus curtatus,Lemmiscus_curtatus,no,RODENTIA,LC,0.810372500643653,0,0,No
Marmota broweri,Marmota_broweri,no,RODENTIA,LC,0.0532844312144791,0,0,No
Marmota flaviventris,Marmota_flaviventris,no,RODENTIA,LC,0.218619311990162,0.503472222222222,288,Yes
Marmota monax,Marmota_monax,no,RODENTIA,LC,0.838749724544799,0.998179611650485,1648,Yes
Marmota olympus,Marmota_olympus,no,RODENTIA,LC,0.960581390789535,0,0,No
Microdipodops megacephalus,Microdipodops_megacephalus,no,RODENTIA,LC,0.441195050591071,0,0,No
Microdipodops pallidus,Microdipodops_pallidus,no,RODENTIA,LC,0.414428856159902,0,0,No
Microtus abbreviatus,Microtus_abbreviatus,no,RODENTIA,LC,0.795308316847441,0,0,No
Microtus canicaudus,Microtus_canicaudus,no,RODENTIA,LC,0.491669246070162,0,0,No
Microtus chrotorrhinus,Microtus_chrotorrhinus,no,RODENTIA,LC,0.82273394443032,0,0,No
Microtus longicaudus,Microtus_longicaudus,no,RODENTIA,LC,0.97357835278241,0,0,No
Microtus miurus,Microtus_miurus,no,RODENTIA,LC,0.367877067407429,0,0,No
Microtus montanus,Microtus_montanus,no,RODENTIA,LC,0.63416107936756,0,0,No
Microtus ochrogaster,Microtus_ochrogaster,no,RODENTIA,LC,0.820447419677307,0,0,No
Microtus oregoni,Microtus_oregoni,no,RODENTIA,LC,0.973791305564051,0,0,No
Microtus pennsylvanicus,Microtus_pennsylvanicus,no,RODENTIA,LC,0.976560131649576,1,209,Yes
Microtus pinetorum,Microtus_pinetorum,no,RODENTIA,LC,0.879332149490173,1,15,Yes
Microtus richardsoni,Microtus_richardsoni,no,RODENTIA,LC,0.345455370169406,0,0,No
Microtus townsendii,Microtus_townsendii,no,RODENTIA,LC,0.0732146353502618,0,0,No
Microtus xanthognathus,Microtus_xanthognathus,no,RODENTIA,LC,0.654840539119962,0,0,No
Myodes californicus,Myodes_californicus,no,RODENTIA,LC,0.838078840956072,0,0,No
Myodes gapperi,Myodes_gapperi,no,RODENTIA,LC,0.566188683388554,0.982142857142857,56,Yes
Napaeozapus insignis,Napaeozapus_insignis,no,RODENTIA,LC,0.9477087854393,1,40,Yes
Neotoma cinerea,Neotoma_cinerea,no,RODENTIA,LC,0.601155954981805,0.923076923076923,13,Yes
Neotoma floridana,Neotoma_floridana,no,RODENTIA,LC,0.963013705389585,1,17,Yes
Neotoma fuscipes,Neotoma_fuscipes,no,RODENTIA,LC,0.737211915474363,1,72,Yes
Neotoma stephensi,Neotoma_stephensi,no,RODENTIA,LC,0.425998775351034,0,0,No
Ochrotomys nuttalli,Ochrotomys_nuttalli,no,RODENTIA,LC,0.88025614187716,0,0,No
Oryzomys palustris,Oryzomys_palustris,no,RODENTIA,LC,0.281069206296316,0,0,No
Perognathus fasciatus,Perognathus_fasciatus,no,RODENTIA,LC,0.917612353884358,0,0,No
Perognathus inornatus,Perognathus_inornatus,no,RODENTIA,LC,0.0722871768580357,0,0,No
Perognathus parvus,Perognathus_parvus,no,RODENTIA,LC,0.9822800787457,0,0,No
Peromyscus attwateri,Peromyscus_attwateri,no,RODENTIA,LC,0.446982590314721,0,0,No
Peromyscus gossypinus,Peromyscus_gossypinus,no,RODENTIA,LC,0.965466531846147,1,25,Yes
Peromyscus polionotus,Peromyscus_polionotus,no,RODENTIA,LC,0.169080493408177,0,0,No
Peromyscus truei,Peromyscus_truei,no,RODENTIA,LC,0.437714626099967,0.958333333333333,24,Yes
