GAEZ_category,iso3c,late,early,coef
Yamsandotherroots,PNG,1011156.7433333333,982739.1833333333,1.028916685608903
Yamsandotherroots,PRI,5805.826666666667,5720.446666666667,1.0149254079226915
Yamsandotherroots,PRT,0,2309.34,0
Yamsandotherroots,PSE,722.04,745.36,0.9687131050767414
Yamsandotherroots,PYF,5875.19,5793.536666666667,1.0140938666709625
Yamsandotherroots,RWA,249086.68000000002,165061.38,1.5090548740111105
Yamsandotherroots,SDN,168093.26666666666,166768.73,1.0079423562598735
Yamsandotherroots,SEN,90274.76666666668,44450,2.030928383952006
Yamsandotherroots,SGP,14.543333333333333,14.469999999999999,1.0050679566920064
Yamsandotherroots,SLB,89606.02666666666,88858.89666666667,1.0084080494809955
Yamsandotherroots,SLE,3047.943333333333,3016.476666666667,1.0104315962441832
Yamsandotherroots,SLV,47945.34,47188.86,1.016030902208699
Yamsandotherroots,SSD,52016.426666666666,51823.77333333333,1.0037174702060805
Yamsandotherroots,STP,11715.79,9869.583333333334,1.1870602440157048
Yamsandotherroots,SUR,1773.0533333333333,1750.5566666666666,1.0128511502055537
Yamsandotherroots,SVN,0,13702.573333333334,0
Yamsandotherroots,SWZ,63977.87,62281.62333333333,1.0272351068562922
Yamsandotherroots,TCD,484948.61,477446.65,1.0157126665356222
Yamsandotherroots,TGO,902206.3166666667,814179.1933333334,1.1081176282249872
Yamsandotherroots,THA,376213.61,369712.23333333334,1.0175849649551763
Yamsandotherroots,TKL,188.00666666666666,196.15,0.9584841532840512
Yamsandotherroots,TLS,28283.93,28852.253333333334,0.9803022895034426
Yamsandotherroots,TON,10582.02,10535.746666666666,1.0043920316990664
Yamsandotherroots,TTO,7598.496666666667,5931.106666666667,1.2811262878428535
Yamsandotherroots,TUN,0,0,1
Yamsandotherroots,TUR,0,742.3333333333334,0
Yamsandotherroots,TUV,144.9,143.87333333333333,1.0071359065844956
Yamsandotherroots,TWN,41222.47,42243.666666666664,0.9758260409844475
Yamsandotherroots,TZA,11754.846666666666,11745.699999999999,1.0007787246964137
Yamsandotherroots,USA,1321.3333333333333,1550,0.8524731182795698
Yamsandotherroots,VCT,11300.113333333333,12048.516666666666,0.9378841932132724
Yamsandotherroots,VEN,196706,196797.48333333334,0.999535139719351
Yamsandotherroots,VUT,54585.206666666665,52480.113333333335,1.0401122101235298
Yamsandotherroots,WSM,22682.36,36038.193333333336,0.6293978111000385
Yamsandotherroots,XMI,0,2309.34,0
Yamsandotherroots,ZWE,1200,1200,1
