iso3c_producing,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ALA,oil of rapeseed,salmon_aquaculture_meat,xoil,0,4.612772402148514e-5,4.612772402148514e-5
ALA,faba bean,salmon_aquaculture_meat,xpul,0,2.4685340228549796e-5,2.4685340228549796e-5
ALA,guar protein,salmon_aquaculture_meat,xpul,0,3.8831782568640316e-5,3.8831782568640316e-5
ALA,pea other,salmon_aquaculture_meat,xpul,0,1.6337439625033496e-5,1.6337439625033496e-5
ALA,pea protein,salmon_aquaculture_meat,xpul,0,5.7006249619361505e-6,5.7006249619361505e-6
ALB,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ALB,maize gluten,salmon_aquaculture_meat,maiz,8.410928582607594e-11,-4.7859555345306905e-23,8.410928582602808e-11
ALB,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092543e-12,1.6339447945977577e-8,1.634726734289267e-8
ALB,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861117e-10,1.236337696836138e-6,1.2367880452272167e-6
ALB,wheat,salmon_aquaculture_meat,whea,5.387602305774527e-9,1.9793939810961273e-9,7.366996286870655e-9
ALB,wheat gluten,salmon_aquaculture_meat,whea,8.20489550840565e-9,7.076647421785099e-9,1.5281542930190748e-8
ALB,cake of sunflower seed,salmon_aquaculture_meat,xoil,2.809964496572929e-7,3.8103654461095125e-7,6.620329942682441e-7
ALB,oil of linseed,salmon_aquaculture_meat,xoil,9.647657215124339e-8,2.3173955864065482e-23,9.647657215124342e-8
ALB,oil of rapeseed,salmon_aquaculture_meat,xoil,1.3655145596791375e-6,4.612766103340639e-5,4.749317559308553e-5
ALB,faba bean,salmon_aquaculture_meat,xpul,1.1843194927781088e-6,2.4685310993220178e-5,2.586963048599829e-5
ALB,guar protein,salmon_aquaculture_meat,xpul,1.6075043620409937e-6,3.883172014638046e-5,4.043922450842145e-5
ALB,pea other,salmon_aquaculture_meat,xpul,9.34595559326159e-7,1.633742435613497e-5,1.727201991546113e-5
ALB,pea protein,salmon_aquaculture_meat,xpul,5.233735132226491e-7,5.700621978380036e-6,6.223995491602685e-6
AND,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AND,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
AND,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AND,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AND,wheat,salmon_aquaculture_meat,whea,0,0,0
AND,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
AND,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AND,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AND,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AND,faba bean,salmon_aquaculture_meat,xpul,0,0,0
AND,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AND,pea other,salmon_aquaculture_meat,xpul,0,0,0
AND,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARE,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARE,maize gluten,salmon_aquaculture_meat,maiz,5.728344242163793e-6,-4.785928119332402e-23,5.728344242163793e-6
ARE,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARE,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARE,wheat,salmon_aquaculture_meat,whea,1.05,0,1.05
ARE,wheat gluten,salmon_aquaculture_meat,whea,1.05,0,1.05
ARE,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ARE,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ARE,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ARE,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ARE,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ARE,pea other,salmon_aquaculture_meat,xpul,0,0,0
ARE,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARG,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARG,maize gluten,salmon_aquaculture_meat,maiz,1.0806976786787711e-4,-4.7854383178295474e-23,1.0806976786787711e-4
ARG,oil of soya bean,salmon_aquaculture_meat,soyb,6.231543814488726e-5,1.6338429746247536e-8,6.233177657463351e-5
ARG,soy protein concentrate,salmon_aquaculture_meat,soyb,0.0035889797656571015,1.2319005064134581e-6,0.003590211666163515
ARG,wheat,salmon_aquaculture_meat,whea,0.0012608587115063232,1.976898255602301e-9,0.0012608606884045787
ARG,wheat gluten,salmon_aquaculture_meat,whea,0.0019201888691160786,7.063058980126787e-9,0.0019201959321750587
