iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
AFG,plant-dominant,regular,guar meal,Other pulses n.e.c.,211,1.18979972614322,1.26771800342702,0.53335849792627,Pulses,opul,28531.185464742543,4.170172766264889e-5,4.443271398567033e-5,1.8693877917739122e-5
AFG,plant-dominant,regular,linseed oil,Linseed,333,0.565154101585244,0.911789271960895,0.827889180288311,CropsNES,ooil,3569646.8263646667,1.5832213355425914e-7,2.554284264837097e-7,2.319246750613238e-7
AFG,plant-dominant,regular,pea flour,"Peas, dry; Peas, green",187,0.813816502149943,0.813816502149943,0.813816502149943,Pulses,opul,28531.185464742543,2.8523753531223514e-5,2.8523753531223514e-5,2.8523753531223514e-5
AFG,plant-dominant,regular,pea protein concentrate,"Peas, dry; Peas, green",187,0.466718861473943,0.57917018464671,0.999697814541197,Pulses,opul,28531.185464742543,1.6358200820316124e-5,2.029954855406974e-5,3.503877593086958e-5
AFG,plant-dominant,regular,soy oil,Soya beans,236,7.8238114511122e-5,1.32599910509907e-4,1.29381793545801e-4,Soybean,soyb,57.543470364413224,1.3596349684100218e-6,2.3043433020319046e-6,2.248418330115435e-6
AFG,plant-dominant,regular,soy protein concentrate,Soya beans,236,0.00494774781531623,0.00426597884296939,0.00434346466182891,Soybean,soyb,57.543470364413224,8.598278456240067e-5,7.413488995282445e-5,7.548145140226113e-5
AFG,plant-dominant,regular,sunflower meal,Sunflower seed,267,0.0289611267441544,0.015523932273472,0.0120126763840807,Sunflower,sunf,118.5584940481931,2.4427711381338845e-4,1.309390136750695e-4,1.0132278147188375e-4
AFG,plant-dominant,regular,wheat,Wheat,15,0.0249506512221595,0.0249506512221595,0.0249506512221595,Wheat,whea,4665587.223991618,5.347805115261162e-9,5.347805115261162e-9,5.347805115261162e-9
AFG,plant-dominant,regular,wheat gluten,Wheat,15,0.0376179049195636,0.0419142508376873,0.0960968960137839,Wheat,whea,4665587.223991618,8.06284463531684e-9,8.98370319220563e-9,2.0596956267290344e-8
AGO,fish-dominant,efficient,corn gluten meal,Maize (corn),56,6.13780111761419e-4,7.72764725495121e-4,3.24803843916189e-4,Maize,maiz,2919538.30273813,2.1023190933503996e-10,2.646873051024447e-10,1.1125178375346785e-10
AGO,fish-dominant,efficient,wheat,Wheat,15,3.26618825186133e-6,3.26618825186133e-6,3.26618825186133e-6,Wheat,whea,737.26617431640625,4.430134415009264e-9,4.430134415009264e-9,4.430134415009264e-9
AGO,fish-dominant,efficient,wheat gluten,Wheat,15,6.06577818202818e-6,6.75855151399137e-6,1.54953460711709e-5,Wheat,whea,737.26617431640625,8.227392485017197e-9,9.16704407367923e-9,2.1017302313561577e-8
AGO,fish-dominant,regular,corn gluten meal,Maize (corn),56,7.97914145289844e-4,0.00100459414314366,4.22244997091046e-4,Maize,maiz,2919538.30273813,2.733014821355517e-10,3.4409349663317905e-10,1.446273188795083e-10
AGO,fish-dominant,regular,wheat,Wheat,15,4.24604472741972e-6,4.24604472741972e-6,4.24604472741972e-6,Wheat,whea,737.26617431640625,5.75917473951203e-9,5.75917473951203e-9,5.75917473951203e-9
AGO,fish-dominant,regular,wheat gluten,Wheat,15,7.88551163663663e-6,8.78611696818878e-6,2.01439498925222e-5,Wheat,whea,737.26617431640625,1.0695610230522353e-8,1.1917157295782997e-8,2.7322493007630096e-8
AGO,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,5.42564351260321e-7,1.10336675605199e-6,1.955302056001e-6,CropsNES,cnut,1031333.7729970376,5.260802714562898e-13,1.0698444916097588e-12,1.8958964664939915e-12
AGO,plant-dominant,efficient,corn gluten meal,Maize (corn),56,1.07411519558248e-4,1.35233826961646e-4,5.68406726853331e-5,Maize,maiz,2919538.30273813,3.6790584133631885e-11,4.632027839292777e-11,1.9469062156856883e-11
AGO,plant-dominant,efficient,linseed oil,Linseed,333,7.22432654375107e-6,1.1655340412921e-5,1.05828512323714e-5,CropsNES,ooil,1031333.7729970376,7.004838523572544e-12,1.1301230230297597e-11,1.0261325197969442e-11
AGO,plant-dominant,efficient,sunflower meal,Sunflower seed,267,1.00788973923766,0.540255639543127,0.418058778418945,Sunflower,sunf,11977.616473473465,8.414777192689454e-5,4.510543819295083e-5,3.49033365148074e-5
AGO,plant-dominant,efficient,wheat,Wheat,15,3.03288909101409e-6,3.03288909101409e-6,3.03288909101409e-6,Wheat,whea,737.26617431640625,4.113696242508599e-9,4.113696242508599e-9,4.113696242508599e-9
AGO,plant-dominant,efficient,wheat gluten,Wheat,15,4.57266355260586e-6,5.09490806439349e-6,1.16811070382673e-5,Wheat,whea,737.26617431640625,6.202188181012966e-9,6.91054091708126e-9,1.5843812513300278e-8
AGO,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,7.05333656638418e-7,1.43437678286758e-6,2.5418926728013e-6,CropsNES,cnut,1031333.7729970376,6.839043528931773e-13,1.3907978390926796e-12,2.464665406442189e-12
AGO,plant-dominant,regular,corn gluten meal,Maize (corn),56,1.39634975425723e-4,1.7580397505014e-4,7.38928744909331e-5,Maize,maiz,2919538.30273813,4.782775937372165e-11,6.021636191080616e-11,2.5309780803913967e-11
AGO,plant-dominant,regular,linseed oil,Linseed,333,9.39162450687639e-6,1.51519425367973e-5,1.37577066020828e-5,CropsNES,ooil,1031333.7729970376,9.106290080644305e-12,1.4691599299386874e-11,1.3339722757360257e-11
AGO,plant-dominant,regular,sunflower meal,Sunflower seed,267,1.31025666100895,0.702332331406066,0.543476411944628,Sunflower,sunf,11977.616473473465,1.0939210350496224e-4,5.8637069650836146e-5,4.5374337469249576e-5
