iso3c_producing,diet,source_ingredient,SPAM_super.x,GAEZ_category,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ,SPAM_super.y,prop_extra_for_system_ms,prop_extra_for_system_ge,prop_extra_for_system_econ,total_prop_ms,total_prop_ge,total_prop_econ
USA,plant-dominant,linseed oil,ooil,CropsNES,4.254052975197671e-5,6.863260576643811e-5,6.2317240919966e-5,ooil,-4.9308936194956e-24,2.6170948844086775e-21,8.015908496252534e-6,4.254052975197671e-5,6.863260576643811e-5,7.033314941621854e-5
USA,plant-dominant,pea flour,opul,Pulses,0.002333856283226778,0.002333856283226778,0.002333856283226778,opul,2.4257641242927188e-5,2.4258969525990036e-5,2.425682734547049e-5,0.002358113924469705,0.002358115252752768,0.0023581131105722486
USA,plant-dominant,pea protein concentrate,opul,Pulses,0.0013384525190553572,0.0016609395003964811,0.002866925184769942,opul,1.131696920171946e-5,1.439058008355675e-5,-1.0361247843384961e-4,0.0013497694882570767,0.0016753300804800378,0.0027633127063360925
USA,plant-dominant,soy oil,soyb,Soybean,8.33494912156997e-6,1.4126279940804214e-5,1.3783443954396686e-5,soyb,5.377164192014679e-22,-7.533493281480664e-22,5.818406171611774e-7,8.33494912156997e-6,1.4126279940804214e-5,1.4365284571557864e-5
USA,plant-dominant,soy protein concentrate,soyb,Soybean,5.270989282488058e-4,4.54467964009909e-4,4.627227687412465e-4,soyb,1.066992073919818e-6,8.966610598557159e-7,-1.308721873565228e-5,5.281659203227256e-4,4.5536462506976476e-4,4.496355500055942e-4
USA,plant-dominant,sunflower meal,sunf,Sunflower,0.003775093878737891,0.002023550472232732,0.0015658569324812463,sunf,2.6244512825895923e-5,8.942676277892163e-6,4.1945211230320315e-4,0.0038013383915637866,0.002032493148510624,0.0019853090447844494
USA,plant-dominant,wheat,whea,Wheat,1.355528302295641e-4,1.355528302295641e-4,1.355528302295641e-4,whea,-2.0678311949150935e-21,-2.067894267453085e-21,-2.0686900265410223e-21,1.355528302295641e-4,1.355528302295641e-4,1.355528302295641e-4
USA,plant-dominant,wheat gluten,whea,Wheat,2.0437195942303455e-4,2.2771330805804312e-4,5.220788072808097e-4,whea,3.00029292063038e-22,1.777464187369302e-21,-1.6531707455788252e-4,2.0437195942303455e-4,2.2771330805804312e-4,3.567617327229272e-4
UZB,fish-dominant,corn gluten meal,maiz,Maize,2.733014821355523e-10,3.440934966331787e-10,1.4462731887950835e-10,maiz,1.03705233010513e-6,1.3107857622922713e-6,3.893788295469808e-5,1.0373256315872656e-6,1.3111298557889045e-6,3.893802758201696e-5
UZB,fish-dominant,faba beans,opul,Pulses,1.3687662600053202e-5,1.3687662600053202e-5,1.3687662600053202e-5,opul,1.3446125749239822e-5,1.3446862022850056e-5,1.3445674602014084e-5,2.7133788349293024e-5,2.713452462290326e-5,2.7133337202067287e-5
UZB,fish-dominant,wheat,whea,Wheat,5.75917473951204e-9,5.75917473951204e-9,5.75917473951204e-9,whea,8.860656866804225e-22,8.860927132635515e-22,8.864336960402983e-22,5.7591747395129256e-9,5.7591747395129256e-9,5.759174739512926e-9
UZB,fish-dominant,wheat gluten,whea,Wheat,1.0695610230522351e-8,1.1917157295783004e-8,2.7322493007630066e-8,whea,8.868834739084831e-22,-3.699158578034866e-21,-2.19412704859286e-4,1.0695610230523238e-8,1.1917157295779305e-8,-2.1938538236627837e-4
UZB,plant-dominant,coconut oil,cnut,CropsNES,7.790764780859503e-8,1.5843412571159974e-7,2.807648227984281e-7,cnut,-6.808328565855963e-24,-4.366462449692064e-23,-6.367447638202055e-6,7.790764780859502e-8,1.584341257115997e-7,-6.086682815403627e-6
UZB,plant-dominant,corn gluten meal,maiz,Maize,4.7827759373721555e-11,6.021636191080626e-11,2.5309780803914045e-11,maiz,1.652723864899342e-7,2.1317548275480385e-7,6.79791820893776e-6,1.6532021424930793e-7,2.1323569911671467e-7,6.797943518718564e-6
UZB,plant-dominant,faba beans,opul,Pulses,2.4637792680095643e-5,2.4637792680095643e-5,2.4637792680095643e-5,opul,3.2005340767085315e-5,3.2007093293294924e-5,3.20042669171924e-5,5.664313344718096e-5,5.664488597339057e-5,5.6642059597288046e-5
UZB,plant-dominant,guar meal,opul,Pulses,2.9428474590114356e-5,3.135570317553755e-5,1.3192074816258113e-5,opul,4.017742259323972e-5,4.3467302011974087e-5,2.505646658832777e-4,6.960589718335407e-5,7.482300518751165e-5,2.637567406995358e-4
UZB,plant-dominant,linseed oil,ooil,CropsNES,1.0373521347605047e-6,1.6736082160021204e-6,1.5196078487411751e-6,ooil,-4.9310982759554955e-24,2.6172701344865014e-21,8.016395874888112e-6,1.0373521347605047e-6,1.673608216002123e-6,9.536003723629286e-6
UZB,plant-dominant,pea flour,opul,Pulses,2.0128915588313477e-5,2.0128915588313477e-5,2.0128915588313477e-5,opul,2.4313898106780482e-5,2.4315229470317592e-5,2.431308232178171e-5,4.444281369509396e-5,4.4444145058631065e-5,4.444199791009519e-5
