"","iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply"
"133","KNA","NOR","Rapeseed",0.000139146725883251
"134","LCA","NOR","Rapeseed",0.000139146725883251
"135","VCT","NOR","Rapeseed",0.000139146725883251
"136","STP","NOR","Rapeseed",0.000139146725883251
"137","SYC","NOR","Rapeseed",0.000139146725883251
"138","SYC","NOR","Soybean",0
"139","SLE","NOR","Rapeseed",0.000139146725883251
"140","SUR","NOR","Rapeseed",0.000139146725883251
"141","TJK","NOR","Rapeseed",0.000139146725883251
"142","TJK","NOR","Soybean",0
"143","TKM","NOR","Rapeseed",0.000139146725883251
"144","TKM","NOR","Soybean",0
"145","TZA","NOR","Rapeseed",0.000139146725883251
"146","THA","NOR","Rapeseed",0.000139146725883251
"147","TGO","NOR","Rapeseed",0.000139146725883251
"148","UGA","NOR","Rapeseed",0.000139146725883251
"149","BFA","NOR","Rapeseed",0.000139146725883251
"150","UZB","NOR","Rapeseed",0.000139146725883251
"151","UZB","NOR","Soybean",0
"152","VEN","NOR","Rapeseed",0.000139146725883251
"153","VEN","NOR","Soybean",0
"154","WSM","NOR","Rapeseed",0.000139146725883251
"155","WSM","NOR","Soybean",0
"156","MNE","NOR","Rapeseed",0.000139146725883251
"157","SDN","NOR","Rapeseed",0.000139146725883251
"158","SDN","NOR","Soybean",0
"159","SSD","NOR","Rapeseed",0.000139146725883251
"160","SSD","NOR","Soybean",0
"161","ABW","NOR","Rapeseed",0.000139146725883251
"162","ABW","NOR","Soybean",0
"163","AIA","NOR","Rapeseed",0.000139146725883251
"164","AIA","NOR","Soybean",0
"165","ALA","NOR","Rapeseed",0.000139146725883251
"166","ALA","NOR","Soybean",0
"167","AND","NOR","Rapeseed",0.000139146725883251
"168","AND","NOR","Soybean",0
"169","ASM","NOR","Rapeseed",0.000139146725883251
"170","ASM","NOR","Soybean",0
"171","BES","NOR","Rapeseed",0.000139146725883251
"172","BES","NOR","Soybean",0
"173","BLM","NOR","Rapeseed",0.000139146725883251
"174","BLM","NOR","Soybean",0
"175","BMU","NOR","Rapeseed",0.000139146725883251
"176","BMU","NOR","Soybean",0
"177","BRN","NOR","Rapeseed",0.000139146725883251
"178","CCK","NOR","Rapeseed",0.000139146725883251
"179","CCK","NOR","Soybean",0
"180","COK","NOR","Rapeseed",0.000139146725883251
"181","CUW","NOR","Rapeseed",0.000139146725883251
"182","CUW","NOR","Soybean",0
"183","CXR","NOR","Rapeseed",0.000139146725883251
"184","CXR","NOR","Soybean",0
"185","CYM","NOR","Rapeseed",0.000139146725883251
"186","CYM","NOR","Soybean",0
"187","ERI","NOR","Rapeseed",0.000139146725883251
"188","ERI","NOR","Soybean",0
"189","ESH","NOR","Rapeseed",0.000139146725883251
"190","ESH","NOR","Soybean",0
"191","FLK","NOR","Rapeseed",0.000139146725883251
"192","FLK","NOR","Soybean",0
"193","FSM","NOR","Rapeseed",0.000139146725883251
"194","GGY","NOR","Rapeseed",0.000139146725883251
"195","GGY","NOR","Soybean",0
"196","GIB","NOR","Rapeseed",0.000139146725883251
"197","GIB","NOR","Soybean",0
"198","GLP","NOR","Rapeseed",0.000139146725883251
"199","GLP","NOR","Soybean",0
"200","GNQ","NOR","Rapeseed",0.000139146725883251
"201","GNQ","NOR","Soybean",0
"202","GRL","NOR","Rapeseed",0.000139146725883251
"203","GRL","NOR","Soybean",0
"204","GUF","NOR","Rapeseed",0.000139146725883251
"205","GUF","NOR","Soybean",0
"206","GUM","NOR","Rapeseed",0.000139146725883251
"207","GUM","NOR","Soybean",0
"208","IMN","NOR","Rapeseed",0.000139146725883251
"209","IMN","NOR","Soybean",0
"210","IOT","NOR","Rapeseed",0.000139146725883251
"211","IOT","NOR","Soybean",0
"212","JEY","NOR","Rapeseed",0.000139146725883251
"213","JEY","NOR","Soybean",0
"214","LIE","NOR","Rapeseed",0.000139146725883251
"215","LIE","NOR","Soybean",0
"216","MAF","NOR","Rapeseed",0.000139146725883251
"217","MAF","NOR","Soybean",0
"218","MCO","NOR","Rapeseed",0.000139146725883251
"219","MCO","NOR","Soybean",0
"220","MHL","NOR","Rapeseed",0.000139146725883251
"221","MHL","NOR","Soybean",0
"222","MNP","NOR","Rapeseed",0.000139146725883251
"223","MNP","NOR","Soybean",0
"224","MSR","NOR","Rapeseed",0.000139146725883251
"225","MSR","NOR","Soybean",0
"226","MTQ","NOR","Rapeseed",0.000139146725883251
"227","MTQ","NOR","Soybean",0
"228","MYT","NOR","Rapeseed",0.000139146725883251
"229","MYT","NOR","Soybean",0
"230","NFK","NOR","Rapeseed",0.000139146725883251
"231","NFK","NOR","Soybean",0
"232","NIU","NOR","Rapeseed",0.000139146725883251
"233","NIU","NOR","Soybean",0
"234","PCN","NOR","Rapeseed",0.000139146725883251
"235","PCN","NOR","Soybean",0
"236","PLW","NOR","Rapeseed",0.000139146725883251
"237","PLW","NOR","Soybean",0
"238","PRI","NOR","Rapeseed",0.000139146725883251
"239","PRI","NOR","Soybean",0
"240","PSE","NOR","Rapeseed",0.000139146725883251
"241","PSE","NOR","Soybean",0
"242","REU","NOR","Rapeseed",0.000139146725883251
"243","REU","NOR","Soybean",0
"244","SGP","NOR","Rapeseed",0.000139146725883251
"245","SHN","NOR","Rapeseed",0.000139146725883251
"246","SHN","NOR","Soybean",0
"247","SJM","NOR","Rapeseed",0.000139146725883251
"248","SJM","NOR","Soybean",0
"249","SMR","NOR","Rapeseed",0.000139146725883251
"250","SMR","NOR","Soybean",0
"251","SOM","NOR","Rapeseed",0.000139146725883251
"252","SOM","NOR","Soybean",0
"253","SPM","NOR","Rapeseed",0.000139146725883251
"254","SPM","NOR","Soybean",0
"255","SXM","NOR","Rapeseed",0.000139146725883251
"256","SXM","NOR","Soybean",0
"257","TCA","NOR","Rapeseed",0.000139146725883251
"258","TCA","NOR","Soybean",0
"259","TKL","NOR","Rapeseed",0.000139146725883251
"260","TKL","NOR","Soybean",0
"261","TON","NOR","Rapeseed",0.000139146725883251
"262","TUV","NOR","Rapeseed",0.000139146725883251
"263","TUV","NOR","Soybean",0
"264","VGB","NOR","Rapeseed",0.000139146725883251
"265","VGB","NOR","Soybean",0
"266","VIR","NOR","Rapeseed",0.000139146725883251
"267","VIR","NOR","Soybean",0
"268","WLF","NOR","Rapeseed",0.000139146725883251
"269","WLF","NOR","Soybean",0
"270","XKO","NOR","Rapeseed",0.000139146725883251
"271","XKO","NOR","Soybean",0
"272","XMI","NOR","Rapeseed",0.000139146725883251
"273","XMI","NOR","Soybean",0
"274","BHR","NOR","Rapeseed",0.000139146725883251
"275","CPV","NOR","Soybean",0
"276","COM","NOR","Soybean",0
"277","COK","NOR","Soybean",0
"278","CYP","NOR","Rapeseed",0.000139146725883251
"279","ECU","NOR","Rapeseed",0.000139146725883251
"280","FRO","NOR","Soybean",0
"281","FJI","NOR","Rapeseed",0.000139146725883251
"282","HND","NOR","Rapeseed",0.000139146725883251
"283","JOR","NOR","Rapeseed",0.000139146725883251
"284","MWI","NOR","Rapeseed",0.000139146725883251
"285","QAT","NOR","Soybean",0
"286","SYR","NOR","Soybean",0
"287","BFA","NOR","Soybean",0
"288","YEM","NOR","Soybean",0
"289","YEM","NOR","Rapeseed",0.000139146725883251
"290","NOR","NOR","Rapeseed",0.636363636363636
"291","NOR","NOR","Soybean",0
