iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
AFG,plant-dominant,regular,guar meal,Other pulses n.e.c.,211,1.4398841202224884,1.700057282093224,0.12600648346059176,Pulses,opul,28531.185464742543,5.046702745673948e-5,5.9585932179161376e-5,4.416447526034432e-6
AFG,plant-dominant,regular,linseed oil,Linseed,333,0.004170800574091929,0.006728945624349787,0.006109768395461542,CropsNES,ooil,3569646.8263646667,1.1684070657319e-9,1.885045202413639e-9,1.7115890430213059e-9
AFG,plant-dominant,regular,pea flour,"Peas, dry; Peas, green",187,0.4157529174509921,0.4157529174509921,0.4157529174509921,Pulses,opul,28531.185464742543,1.4571876726424823e-5,1.4571876726424823e-5,1.4571876726424823e-5
AFG,plant-dominant,regular,pea protein concentrate,"Peas, dry; Peas, green",187,0.11026280208849765,0.1368295406866135,0.8051239953416606,Pulses,opul,28531.185464742543,3.864641454339676e-6,4.7957888344913255e-6,2.8219086666994394e-5
AFG,plant-dominant,regular,soy oil,Soya beans,236,7.824917391903502e-5,1.3261865427065242e-4,1.2940008240718638e-4,Soybean,soyb,57.543470364413224,1.3598271606403996e-6,2.3046690342240494e-6,2.2487361569908312e-6
AFG,plant-dominant,regular,soy protein concentrate,Soya beans,236,0.006817196484111159,0.005847628221908673,0.005957823601552242,Soybean,soyb,57.543470364413224,1.1847037450016463e-4,1.0162105595781097e-4,1.0353604959558985e-4
AFG,plant-dominant,regular,sunflower meal,Sunflower seed,267,0.012969363052312423,0.006951922673202138,0.005379513118788733,Sunflower,sunf,118.5584940481931,1.0939210350496252e-4,5.863706965083612e-5,4.5374337469249597e-5
AFG,plant-dominant,regular,wheat,Wheat,15,0.025324931537995504,0.025324931537995504,0.025324931537995504,Wheat,whea,4665587.223991618,5.428026596045266e-9,5.428026596045266e-9,5.428026596045266e-9
AFG,plant-dominant,regular,wheat gluten,Wheat,15,0.03818220447267015,0.04254299911771718,0.09753842859225842,Wheat,whea,4665587.223991618,8.18379394480671e-9,9.118466138399563e-9,2.0905927573423427e-8
AGO,fish-dominant,efficient,corn gluten meal,Maize (corn),56,7.091039209553859e-4,8.927798185771184e-4,3.7524786947133623e-4,Maize,maiz,2919538.30273813,2.428822119889103e-10,3.057948641193754e-10,1.2852986690375144e-10
AGO,fish-dominant,efficient,wheat,Wheat,15,3.821440254677752e-6,3.821440254677752e-6,3.821440254677752e-6,Wheat,whea,737.26617431640625,5.1832572655608325e-9,5.1832572655608325e-9,5.1832572655608325e-9
AGO,fish-dominant,efficient,wheat gluten,Wheat,15,7.096960472972968e-6,7.907505271369902e-6,1.8129554903269986e-5,Wheat,whea,737.26617431640625,9.626049207470118e-9,1.0725441566204698e-8,2.4590243706867092e-8
AGO,fish-dominant,regular,corn gluten meal,Maize (corn),56,7.878932455059844e-4,9.919775761967982e-4,4.169420771903736e-4,Maize,maiz,2919538.30273813,2.6986912443212257e-10,3.3977207124375045e-10,1.428109632263905e-10
AGO,fish-dominant,regular,wheat,Wheat,15,4.246044727419724e-6,4.246044727419724e-6,4.246044727419724e-6,Wheat,whea,737.26617431640625,5.7591747395120355e-9,5.7591747395120355e-9,5.7591747395120355e-9
AGO,fish-dominant,regular,wheat gluten,Wheat,15,7.885511636636632e-6,8.786116968188782e-6,2.014394989252221e-5,Wheat,whea,737.26617431640625,1.0695610230522354e-8,1.1917157295783e-8,2.732249300763011e-8
AGO,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,8.144976041119938e-5,1.6563741741852436e-4,2.9352994464687006e-4,CropsNES,cnut,1031333.7729970376,7.89751703510182e-11,1.606050550804566e-10,2.8461197755007796e-10
AGO,plant-dominant,efficient,corn gluten meal,Maize (corn),56,1.2409318616719253e-4,1.5623646825099573e-4,6.566837715748384e-5,Maize,maiz,2919538.30273813,4.25043870980593e-11,5.35141012208907e-11,2.2492726708156503e-11
AGO,plant-dominant,efficient,linseed oil,Linseed,333,0.0010845159007479095,0.0017496997027876993,0.001588697627003596,CropsNES,ooil,1031333.7729970376,1.0515663591587092e-9,1.6965406821722738e-9,1.5404301387191741e-9
AGO,plant-dominant,efficient,sunflower meal,Sunflower seed,267,1.1792309949080582,0.6320990982654592,0.48912877075016553,Sunflower,sunf,11977.616473473465,9.845289315446628e-5,5.2773362685752515e-5,4.083690372232465e-5
AGO,plant-dominant,efficient,wheat,Wheat,15,3.5484802364864835e-6,3.5484802364864835e-6,3.5484802364864835e-6,Wheat,whea,737.26617431640625,4.813024603735058e-9,4.813024603735058e-9,4.813024603735058e-9
AGO,plant-dominant,efficient,wheat gluten,Wheat,15,5.350016356548853e-6,5.961042435340389e-6,1.3666895234772762e-5,Wheat,whea,737.26617431640625,7.256560171785166e-9,8.085332872985081e-9,1.853726064056135e-8
AGO,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,9.049973379022153e-5,1.840415749094715e-4,3.2614438294096675e-4,CropsNES,cnut,1031333.7729970376,8.77501892789091e-11,1.7845006120050733e-10,3.1623553061119773e-10
AGO,plant-dominant,regular,corn gluten meal,Maize (corn),56,1.3788131796354725e-4,1.7359607583443968e-4,7.296486350831538e-5,Maize,maiz,2919538.30273813,4.722709677562144e-11,5.946011246765632e-11,2.4991918564618333e-11
AGO,plant-dominant,regular,linseed oil,Linseed,333,0.0012050176674976772,0.0019441107808752215,0.0017652195855595509,CropsNES,ooil,1031333.7729970376,1.168407065731899e-9,1.8850452024136377e-9,1.7115890430213044e-9
AGO,plant-dominant,regular,sunflower meal,Sunflower seed,267,1.3102566610089534,0.7023323314060655,0.5434764119446283,Sunflower,sunf,11977.616473473465,1.0939210350496252e-4,5.863706965083611e-5,4.5374337469249597e-5
AGO,plant-dominant,regular,wheat,Wheat,15,3.942755818318315e-6,3.942755818318315e-6,3.942755818318315e-6,Wheat,whea,737.26617431640625,5.347805115261176e-9,5.347805115261176e-9,5.347805115261176e-9
AGO,plant-dominant,regular,wheat gluten,Wheat,15,5.944462618387614e-6,6.623380483711542e-6,1.518543914974751e-5,Wheat,whea,737.26617431640625,8.062844635316851e-9,8.983703192205645e-9,2.0596956267290387e-8
ALA,fish-dominant,efficient,wheat,Wheat,15,3.156976070082445e-5,3.156976070082445e-5,3.156976070082445e-5,Wheat,whea,6090.718458175659,5.183257265560832e-9,5.183257265560832e-9,5.183257265560832e-9
ALA,fish-dominant,efficient,wheat gluten,Wheat,15,5.862955558724541e-5,6.53256449193674e-5,1.4977225123645325e-4,Wheat,whea,6090.718458175659,9.626049207470116e-9,1.0725441566204696e-8,2.4590243706867092e-8
