"iso3c","rgn_id","Country"
"CHE",332,"Switzerland"
"TJK",333,"Tajikistan"
"UGA",334,"Uganda"
"UZB",335,"Uzbekistan"
"ZMB",336,"Zambia"
"ZWE",337,"Zimbabwe"
"ATF",34,"Bassas da India"
"ATF",35,"Ile Europa"
"ATF",36,"Ile Tromelin"
"MUS",37,"Mauritius"
"IOT",38,"British Indian Ocean Territory"
"MDV",39,"Maldives"
"AUS",4,"Macquarie Island"
"LKA",40,"Sri Lanka"
"MOZ",41,"Mozambique"
"MDG",42,"Madagascar"
"KEN",43,"Kenya"
"SOM",44,"Somalia"
"ERI",45,"Eritrea"
"DJI",46,"Djibouti"
"YEM",47,"Yemen"
"OMN",48,"Oman"
"SDN",49,"Sudan"
"NCL",5,"New Caledonia"
"SAU",50,"Saudi Arabia"
"KWT",51,"Kuwait"
"BHR",52,"Bahrain"
"PAK",53,"Pakistan"
"ARE",54,"United Arab Emirates"
"PRT",55,"Azores"
"CPV",56,"Cape Verde"
"PRT",57,"Madeira"
"ESP",58,"Canary Islands"
"BEL",59,"Belgium"
"VUT",6,"Vanuatu"
"GIB",60,"Gibraltar"
"TUN",61,"Tunisia"
"MAR",62,"Morocco"
"ESH",63,"Western Sahara"
"MRT",64,"Mauritania"
"GMB",65,"Gambia"
"SEN",66,"Senegal"
"LBY",67,"Libya"
"MLT",68,"Malta"
"LVA",69,"Latvia"
"SLB",7,"Solomon Islands"
"EST",70,"Estonia"
"BGR",71,"Bulgaria"
"ROU",72,"Romania"
"RUS",73,"Russia"
"GEO",74,"Georgia"
"UKR",75,"Ukraine"
"TUR",76,"Turkey"
"SYR",77,"Syria"
"LBN",78,"Lebanon"
"ISR",79,"Israel"
"PLW",8,"Palau"
"GRC",80,"Greece"
"CYP",81,"Cyprus"
"ALB",82,"Albania"
"DZA",84,"Algeria"
"ASC",85,"Ascension"
"SHN",86,"Saint Helena"
"TAA",88,"Tristan da Cunha"
"SGS",89,"South Georgia and the South Sandwich Islands"
"FSM",9,"Micronesia"
"ZAF",90,"Prince Edward Islands"
"ATF",91,"Crozet Islands"
"ATF",92,"Amsterdam Island and Saint Paul Island"
"ATF",93,"Kerguelen Islands"
"HMD",94,"Heard and McDonald Islands"
"FLK",95,"Falkland Islands"
"SLE",96,"Sierra Leone"
"LBR",97,"Liberia"
"TGO",98,"Togo"
"BEN",99,"Benin"
