Acrocephalus sorghophilus
Acrocephalus tangorum
Acrochordus arafurae
Acropternis orthonyx
Acryllium vulturinum
Actenoides capucinus
Actenoides concretus
Actenoides hombroni
Actenoides lindsayi
Actenoides monachus
Actenoides princeps
Actenoides regalis
Actinodura egertoni
Actinodura radcliffei
Actinodura ramsayi
Actinodura sodangorum
Actophilornis albinucha
Acutotyphlops infralabialis
Acutotyphlops kunuaensis
Acutotyphlops subocularis
Addax nasomaculatus
Adelastes hylonomos
Adelomyia melanogenys
Adelophis copei
Adelophis foxi
Adelophryne adiastola
Adelophryne baturitensis
Adelophryne gutturosa
Adelophryne maranguapensis
Adelophryne pachydactyla
Adelotus brevis
Adelphicos daryi
Adelphicos latifasciatum
Adelphicos nigrilatum
Adelphicos quadrivirgatum
Adelphicos sargii
Adelphicos veraepacis
Adelphicos visoninum
Adelphobates castaneoticus
Adelphobates galactonotus
Adelphobates quinquevittatus
Adenomera ajurauna
Adenomera andreae
Adenomera araucaria
Adenomera bokermanni
Adenomera diptyx
Adenomera heyeri
Adenomera hylaedactyla
Adenomera lutzi
Adenomera marmorata
Adenomera nana
Adenomera thomei
Adenomus kandianus
Adenomus kelaartii
Adolfus africanus
Adolfus alleni
Adolfus jacksoni
Aechmophorus clarkii
Aegialomys xanthaeolus
Aegithalos annamensis
Aegithalos bonvaloti
Aegithalos caudatus
Aegithalos concinnus
Aegithalos fuliginosus
Aegithalos glaucogularis
Aegithalos iouschistos
Aegithalos iredalei
Aegithalos leucogenys
Aegithalos niveogularis
Aegithina lafresnayei
Aegithina nigrolutea
Aegithina tiphia
Aegithina viridissima
Aegolius acadicus
Aegolius funereus
Aegolius harrisii
Aegolius ridgwayi
Aegotheles affinis
Aegotheles albertisi
Aegotheles archboldi
Aegotheles bennettii
Aegotheles crinifrons
Aegotheles cristatus
Aegotheles insignis
Aegotheles tatei
Aegotheles wallacii
Aegypius monachus
Aeluroglena cucullata
Aeluroscalabotes felinus
Aepeomys lugens
Aepeomys reigi
Aepyceros melampus
Aepypodius arfakianus
Aepypodius bruijnii
Aepyprymnus rufescens
Aeretes melanopterus
Aerodramus brevirostris
Aerodramus francicus
Aerodramus fuciphagus
Aerodramus hirundinaceus
Aerodramus infuscatus
Aerodramus maximus
Aerodramus mearnsi
Aerodramus nuditarsus
Aerodramus orientalis
Aerodramus papuensis
Aerodramus pelewensis
Aerodramus salangana
Aerodramus terraereginae
Aerodramus unicolor
Aerodramus vanikorensis
Aerodramus vulcanorum
Aerodramus whiteheadi
Aeromys tephromelas
Aeromys thomasi
Aeronautes andecolus
Aeronautes montivagus
Aeronautes saxatalis
Aethalops aequalis
Aethalops alecto
Aethomyias arfakianus
Aethomyias nigrorufus
Aethomyias papuensis
Aethomyias perspicillatus
Aethomyias rufescens
Aethomyias spilodera
Aethomys bocagei
Aethomys chrysophilus
Aethomys hindei
Aethomys ineptus
Aethomys kaiseri
Aethomys nyikae
Aethomys silindensis
Aethomys stannarius
Aethomys thomasi
Aethopyga bella
Aethopyga boltoni
Aethopyga christinae
Aethopyga duyvenbodei
Aethopyga eximia
Aethopyga flagrans
Aethopyga gouldiae
Aethopyga guimarasensis
Aethopyga ignicauda
Aethopyga latouchii
Aethopyga linaraborae
Aethopyga magnifica
Aethopyga mystacalis
Aethopyga nipalensis
Aethopyga primigenia
Aethopyga pulcherrima
Aethopyga saturata
Aethopyga shelleyi
Aethopyga siparaja
Aethopyga temminckii
Aethopyga vigorsii
Afrixalus aureus
Afrixalus brachycnemis
Afrixalus clarkei
Afrixalus crotalus
Afrixalus delicatus
Afrixalus dorsalis
Afrixalus dorsimaculatus
Afrixalus enseticola
Afrixalus equatorialis
Afrixalus fornasini
Afrixalus fulvovittatus
Afrixalus knysnae
Afrixalus lacteus
Afrixalus laevis
Afrixalus leucostictus
Afrixalus morerei
Afrixalus nigeriensis
Afrixalus orophilus
Afrixalus osorioi
Afrixalus paradorsalis
Afrixalus quadrivittatus
Afrixalus septentrionalis
Afrixalus spinifrons
Afrixalus stuhlmanni
Afrixalus sylvaticus
Afrixalus uluguruensis
Afrixalus upembae
Afrixalus vibekensis
Afrixalus vittiger
Afrixalus weidholzi
Afrixalus wittei
Afroedura africana
Afroedura amatolica
Afroedura bogerti
Afroedura broadleyi
Afroedura gorongosa
Afroedura haackei
Afroedura halli
Afroedura karroica
Afroedura langi
Afroedura loveridgei
Afroedura major
Afroedura marleyi
Afroedura multiporis
Afroedura namaquensis
Afroedura nivaria
Afroedura pienaari
Afroedura pondolia
Afroedura tembulica
Afroedura transvaalica
Afroedura waterbergensis
Afrogecko ansorgii
Afrogecko porphyreus
Afronatrix anoscopus
Afropavo congensis
Afrotis afra
Afrotis afraoides
Afrotyphlops angolensis
Afrotyphlops anomalus
Afrotyphlops bibronii
Afrotyphlops blanfordii
Afrotyphlops brevis
Afrotyphlops calabresii
Afrotyphlops chirioi
Afrotyphlops congestus
Afrotyphlops cuneirostris
Afrotyphlops elegans
Afrotyphlops fornasinii
Afrotyphlops gierrai
Afrotyphlops liberiensis
Afrotyphlops lineolatus
Afrotyphlops mucruso
Afrotyphlops nigrocandidus
Afrotyphlops obtusus
Afrotyphlops punctatus
Afrotyphlops rondoensis
Afrotyphlops schlegelii
Afrotyphlops schmidti
Afrotyphlops steinhausi
Afrotyphlops usambaricus
Agalychnis annae
Agalychnis buckleyi
Agalychnis callidryas
Agalychnis dacnicolor
Agalychnis hulli
Agalychnis lemur
Agalychnis medinae
Agalychnis moreletii
Agalychnis psilopygion
Agalychnis saltator
Agalychnis spurrelli
Agalychnis terranova
Agama aculeata
Agama africana
Agama agama
Agama anchietae
Agama armata
Agama bibronii
Agama boensis
Agama bottegi
Agama boueti
Agama boulengeri
Agama cristata
Agama doriae
Agama etoshae
Agama finchi
Agama gracilimembris
Agama hartmanni
Agama hispida
Agama insularis
Agama kirkii
Agama lanzai
Agama lebretoni
Agama lionotus
Agama lucyae
Agama montana
Agama mossambica
Agama mucosoensis
Agama mwanzae
Agama paragama
Agama persimilis
Agama picticauda
Agama planiceps
Agama robecchii
Agama rueppelli
Agama sankaranica
Agama somalica
Agama spinosa
Agama tassiliensis
Agama weidholzi
Agamia agami
Agamura persica
Agapornis canus
Agapornis fischeri
Agapornis lilianae
Agapornis nigrigenis
Agapornis personatus
Agapornis pullarius
Agapornis roseicollis
Agapornis swindernianus
Agapornis taranta
Agelaioides badius
Agelaioides fringillarius
Agelaius assimilis
Agelaius humeralis
Agelaius phoeniceus
Agelaius tricolor
Agelaius xanthomus
Agelastes meleagrides
Agelastes niger
Agkistrodon bilineatus
Agkistrodon contortrix
Agkistrodon piscivorus
Agkistrodon taylori
Aglaeactis castelnaudii
Aglaeactis cupripennis
Aglaeactis pamela
Aglaiocercus berlepschi
Aglaiocercus coelestis
Aglaiocercus kingii
Aglyptodactylus australis
Aglyptodactylus chorus
Aglyptodactylus inguinalis
Aglyptodactylus laticeps
Aglyptodactylus madagascariensis
Aglyptodactylus securifer
Agraphospiza rubescens
Agricola infuscatus
Agricola pallidus
Agriornis albicauda
Agriornis lividus
Agriornis micropterus
Agriornis montanus
Agriornis murinus
Agropsar philippensis
Agropsar sturninus
Ahaetulla anomala
Ahaetulla fasciolata
Ahaetulla fronticincta
Ahaetulla laudankia
Ahaetulla mycterizans
Ahaetulla nasuta
Ahaetulla prasina
Ahaetulla pulverulenta
Ailuroedus buccoides
Ailuroedus crassirostris
Ailuroedus melanotis
Ailuropoda melanoleuca
Ailurops melanotis
Ailurops ursinus
Ailurus fulgens
Aimophila notosticta
Aimophila rufescens
Aimophila ruficeps
Aix galericulata
Aix sponsa
Akletos goeldii
Akletos melanoceps
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon boliviensis
Akodon budini
Akodon caenosus
Akodon cursor
Akodon dayi
Akodon dolores
Akodon fumeus
Akodon iniscatus
Akodon juninensis
Akodon kofordi
Akodon lindberghi
Akodon lutescens
Akodon mimus
Akodon molinae
Akodon mollis
Akodon montensis
Akodon mystax
Akodon orophilus
Akodon paranaensis
Akodon pervalens
Akodon philipmyersi
Akodon polopi
Akodon reigi
Akodon sanctipaulensis
Akodon serrensis
Akodon siberiae
Akodon simulator
Akodon spegazzinii
Akodon subfuscus
Akodon surdus
Akodon sylvanus
Akodon torques
Akodon varius
Alaemon alaudipes
Alaemon hamertoni
Alauda leucoptera
Alaudala somalica
Alcalus baluensis
Alcalus mariae
Alcalus rajae
Alcalus sariba
Alcalus tasanae
Alcedo euryzona
Alcedo hercules
Alcedo peninsulae
Alcelaphus buselaphus
Alces alces
Alcippe brunneicauda
Alcippe grotei
Alcippe morrisonia
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Alcurus striatus
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris magna
Alectoris melanocephala
Alectoris philbyi
Alectoris rufa
Alectroenas madagascariensis
Alectroenas sganzini
Alectrurus risora
Alectrurus tricolor
Alectura lathami
Alethe castanea
Alethe diademata
Alexandresaurus camacan
Alexandrinus eques
Alexandrinus krameri
Alexandromys evoronensis
Alexandromys fortis
Alexandromys kikuchii
Alexandromys limnophilus
Alexandromys maximowiczii
Alexandromys middendorffii
Alexandromys mongolicus
Alexandromys montebelli
Alexandromys mujanensis
Alexandromys oeconomus
Alexandromys sachalinensis
Alexteroon hypsiphonus
Alexteroon jynx
Alexteroon obstetricans
Algyroides fitzingeri
Algyroides marchi
Algyroides moreoticus
Algyroides nigropunctatus
Alionycteris paucidentata
Alipiopsitta xanthops
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Allactaga balikunica
Allactaga bullata
Allactaga firouzi
Allactaga hotsoni
Allactaga major
Allactaga severtzovi
Allactaga sibirica
Allactodipus bobrinskii
Allenia fusca
Allenopithecus nigroviridis
Alligator mississippiensis
Alligator sinensis
Allobates algorei
Allobates amissibilis
Allobates brunneus
Allobates caeruleodactylus
Allobates conspicuus
Allobates crombiei
Allobates femoralis
Allobates fratisenescus
Allobates fuscellus
Allobates gasconi
Allobates goianus
Allobates granti
Allobates humilis
Allobates ignotus
Allobates insperatus
Allobates juanii
Allobates kingsburyi
Allobates mandelorum
Allobates marchesianus
Allobates masniger
Allobates melanolaemus
Allobates myersi
Allobates niputidea
Allobates olfersioides
Allobates paleovarzensis
Allobates peruvianus
Allobates pittieri
Allobates sanmartini
Allobates spumaponens
Allobates subfolionidificans
Allobates sumtuosus
Allobates talamancae
Allobates trilineatus
Allobates vanzolinius
Allobates wayuu
Allobates zaparo
Allocebus trichotis
Allochrocebus lhoesti
Allochrocebus preussi
Allochrocebus solatus
Allocricetulus curtatus
Allocricetulus eversmanni
Allopaa hazarensis
Allophryne ruthveni
Alluaudina bellyi
Alluaudina mocquardi
Alophoixus bres
Alophoixus flaveolus
Alophoixus frater
Alophoixus griseiceps
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alophoixus ruficrissus
Alophoixus tephrogenys
Alopochelidon fucata
Alopochen aegyptiaca
Alopoglossus angulatus
Alopoglossus atriventris
Alopoglossus buckleyi
Alopoglossus copii
Alopoglossus festae
Alopoglossus lehmanni
Alouatta arctoidea
Alouatta belzebul
Alouatta caraya
Alouatta discolor
Alouatta guariba
Alouatta juara
Alouatta nigerrima
Alouatta palliata
Alouatta pigra
Alouatta puruensis
Alouatta sara
Alouatta ululata
Alsodes australis
Alsodes barrioi
Alsodes coppingeri
Alsodes gargola
