Aglaiocercus coelestis
Aglaiocercus kingii
Agraphospiza rubescens
Agricola infuscatus
Agricola pallidus
Agriornis albicauda
Agriornis lividus
Agriornis micropterus
Agriornis montanus
Agriornis murinus
Agropsar philippensis
Agropsar sturninus
Ailuroedus buccoides
Ailuroedus crassirostris
Ailuroedus melanotis
Ailuropoda melanoleuca
Ailurops ursinus
Ailurus fulgens
Aimophila notosticta
Aimophila rufescens
Aimophila ruficeps
Aix galericulata
Aix sponsa
Akletos goeldii
Akletos melanoceps
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon boliviensis
Akodon budini
Akodon caenosus
Akodon cursor
Akodon dayi
Akodon dolores
Akodon fumeus
Akodon iniscatus
Akodon juninensis
Akodon kofordi
Akodon lindberghi
Akodon lutescens
Akodon mimus
Akodon molinae
Akodon mollis
Akodon montensis
Akodon orophilus
Akodon paranaensis
Akodon pervalens
Akodon philipmyersi
Akodon polopi
Akodon reigi
Akodon sanctipaulensis
Akodon serrensis
Akodon siberiae
Akodon simulator
Akodon spegazzinii
Akodon subfuscus
Akodon surdus
Akodon sylvanus
Akodon toba
Akodon torques
Akodon varius
Alaemon alaudipes
Alaemon hamertoni
Alauda arvensis
Alauda gulgula
Alauda leucoptera
Alaudala raytal
Alaudala rufescens
Alaudala somalica
Alcedo atthis
Alcedo coerulescens
Alcedo euryzona
Alcedo hercules
Alcedo meninting
Alcedo peninsulae
Alcedo quadribrachys
Alcedo semitorquata
Alcelaphus buselaphus
Alces alces
Alcippe brunneicauda
Alcippe grotei
Alcippe morrisonia
Alcippe nipalensis
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Alcurus striatus
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris magna
Alectoris melanocephala
Alectoris philbyi
Alectoris rufa
Alectroenas madagascariensis
Alectroenas sganzini
Alectrurus risora
Alectrurus tricolor
Alectura lathami
Alethe castanea
Alethe diademata
Alionycteris paucidentata
Alipiopsitta xanthops
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Allactaga balikunica
Allactaga bullata
Allactaga elater
Allactaga euphratica
Allactaga firouzi
Allactaga hotsoni
Allactaga major
Allactaga severtzovi
Allactaga sibirica
Allactaga toussi
Allactaga vinogradovi
Allactaga williamsi
Allactodipus bobrinskii
Allenia fusca
Allenopithecus nigroviridis
Allocebus trichotis
Allochrocebus lhoesti
Allochrocebus preussi
Allochrocebus solatus
Allocricetulus curtatus
Allocricetulus eversmanni
Alopecoenas beccarii
Alopecoenas hoedtii
Alopecoenas jobiensis
Alopecoenas johannae
Alopecoenas sanctaecrucis
Alopecoenas stairi
Alophoixus bres
Alophoixus flaveolus
Alophoixus frater
Alophoixus griseiceps
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alophoixus ruficrissus
Alophoixus tephrogenys
Alopochelidon fucata
Alopochen aegyptiaca
Alouatta arctoidea
Alouatta belzebul
Alouatta caraya
Alouatta discolor
Alouatta guariba
Alouatta juara
Alouatta macconnelli
Alouatta nigerrima
Alouatta palliata
Alouatta pigra
Alouatta puruensis
Alouatta sara
Alouatta seniculus
Alouatta ululata
Alticola albicaudus
Alticola argentatus
Alticola barakshin
Alticola lemminus
Alticola macrotis
Alticola montosa
Alticola olchonensis
Alticola roylei
Alticola semicanus
Alticola stoliczkanus
Alticola strelzowi
Alticola tuvinicus
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amandava amandava
Amandava formosa
Amandava subflava
Amaurocichla bocagii
Amaurolimnas concolor
Amaurornis cinerea
Amaurornis isabellina
Amaurornis marginalis
Amaurornis moluccana
Amaurornis olivacea
Amaurornis phoenicurus
Amaurospiza moesta
Amaurospiza relicta
Amazilia amabilis
Amazilia amazilia
Amazilia bartletti
Amazilia beryllina
Amazilia boucardi
Amazilia brevirostris
Amazilia candida
Amazilia castaneiventris
Amazilia chionogaster
Amazilia cupreicauda
Amazilia cyanifrons
Amazilia cyanocephala
Amazilia cyanura
Amazilia decora
Amazilia edward
Amazilia fimbriata
Amazilia franciae
Amazilia grayi
Amazilia humboldtii
Amazilia lactea
Amazilia leucogaster
Amazilia luciae
Amazilia rosenbergi
Amazilia rutila
Amazilia sapphirina
Amazilia saucerottei
Amazilia tobaci
Amazilia tzacatl
Amazilia versicolor
Amazilia violiceps
Amazilia viridicauda
Amazilia viridifrons
Amazilia viridigaster
Amazilia wagneri
Amazilia yucatanensis
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona bodini
Amazona brasiliensis
Amazona collaria
Amazona diadema
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guatemalae
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona lilacina
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazonetta brasiliensis
Amblycercus holosericeus
Amblyornis flavifrons
Amblyornis inornata
Amblyornis macgregoriae
Amblyornis subalaris
Amblyospiza albifrons
Amblyramphus holosericeus
Amblysomus corriae
Amblysomus hottentotus
Amblysomus marleyi
Amblysomus robustus
Amblysomus septentrionalis
Ametrida centurio
Ammodillus imbellis
Ammodorcas clarkei
Ammodramus aurifrons
Ammodramus humeralis
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammomanopsis grayi
Ammonastes pelzelni
Ammoperdix griseogularis
Ammoperdix heyi
Ammospermophilus harrisii
Ammospermophilus interpres
Ammospermophilus leucurus
Ammospermophilus nelsoni
Ammospiza leconteii
Ammospiza nelsoni
Ammotragus lervia
Amorphochilus schnablii
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Amphilais seebohmi
Amphispiza bilineata
Amphispiza quinquestriata
Amytornis ballarae
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis merrotsyi
Amytornis modestus
Amytornis purnelli
Amytornis striatus
Amytornis textilis
Amytornis woodwardi
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anairetes alpinus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes leuconotos
Anaplectes rubriceps
Anarhynchus frontalis
Anas acuta
Anas albogularis
Anas andium
Anas bahamensis
Anas bernieri
Anas capensis
Anas castanea
Anas chlorotis
Anas crecca
Anas erythrorhyncha
Anas flavirostris
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas luzonica
Anas melleri
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas sparsa
Anas superciliosa
Anas undulata
Anas wyvilliana
Anas zonorhyncha
Anastomus lamelligerus
Anastomus oscitans
Anathana ellioti
Ancistrops strigilatus
Andalgalomys olrogi
Andalgalomys pearsoni
Andigena cucullata
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Andinomys edax
Androdon aequatorialis
Andropadus importunus
Androphobus viridis
Anhima cornuta
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anhinga rufa
Anisognathus flavinucha
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus lunulatus
Anisognathus melanogenys
Anisognathus notabilis
Anisognathus somptuosus
Anisomys imitator
Anodorhynchus glaucus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anomalospiza imberbis
Anomalurus beecrofti
Anomalurus derbianus
Anomalurus pelii
Anomalurus pusillus
Anonymomys mindorensis
Anopetia gounellei
Anorrhinus austeni
Anorrhinus galeritus
Anorrhinus tickelli
Anotomys leander
Anoura aequatoris
Anoura cadenai
Anoura caudifer
Anoura cultrata
Anoura fistulata
Anoura geoffroyi
Anoura latidens
Anoura luismanueli
Anoura peruana
Anourosorex assamensis
Anourosorex schmidi
Anourosorex squamipes
Anourosorex yamashinai
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser cygnoid
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anseranas semipalmata
Antechinomys laniger
Antechinus adustus
Antechinus agilis
Antechinus bellus
Antechinus flavipes
Antechinus godmani
Antechinus leo
